0 qid:1 89:0.498927 19:0.803835 3:0.581992 479:0.205259 2498:0.000000 1:0.110755 1718:0.002827
0 qid:1 89:1.000000 19:0.975396 3:0.999910 479:1.000000 2498:0.004855 1:1.000000 1718:0.041758
0 qid:1 89:0.000000 19:0.802390 3:0.625495 479:0.207924 2498:0.004480 1:0.000000 1718:0.000000
0 qid:1 89:0.950867 19:1.000000 3:0.913259 479:0.216698 2498:0.004799 1:0.952842 1718:0.005680
0 qid:1 89:0.374999 19:0.803556 3:0.416925 479:0.210817 2498:0.004104 1:0.235825 1718:0.002760
0 qid:1 89:0.939350 19:0.000000 3:1.000000 479:0.000000 2498:1.000000 1:0.947139 1718:1.000000
1 qid:1 89:0.950867 19:1.000000 3:0.913259 479:0.216698 2498:0.004799 1:0.952842 1718:0.005680
0 qid:1 89:0.392316 19:0.802857 3:0.000000 479:0.215950 2498:0.004797 1:0.685336 1718:0.004734
0 qid:1 89:0.950867 19:1.000000 3:0.913259 479:0.216698 2498:0.004799 1:0.952842 1718:0.005680
0 qid:1 89:0.950867 19:1.000000 3:0.913259 479:0.216698 2498:0.004799 1:0.952842 1718:0.005680
0 qid:1 89:0.950867 19:1.000000 3:0.913259 479:0.216698 2498:0.004799 1:0.952842 1718:0.005680
0 qid:1 89:0.950867 19:1.000000 3:0.913259 479:0.216698 2498:0.004799 1:0.952842 1718:0.005680
0 qid:1 89:0.950867 19:1.000000 3:0.913259 479:0.216698 2498:0.004799 1:0.952842 1718:0.005680
0 qid:1 89:0.950867 19:1.000000 3:0.913259 479:0.216698 2498:0.004799 1:0.952842 1718:0.005680
0 qid:1 89:0.950867 19:1.000000 3:0.913259 479:0.216698 2498:0.004799 1:0.952842 1718:0.005680
0 qid:1 89:0.950867 19:1.000000 3:0.913259 479:0.216698 2498:0.004799 1:0.952842 1718:0.005680
0 qid:1 89:0.950867 19:1.000000 3:0.913259 479:0.216698 2498:0.004799 1:0.952842 1718:0.005680
0 qid:1 89:0.950867 19:1.000000 3:0.913259 479:0.216698 2498:0.004799 1:0.952842 1718:0.005680
0 qid:2 89:0.220002 19:0.006655 3:0.421420 479:0.000000 2498:0.000000 1:0.000000 1718:0.006879
0 qid:2 89:1.000000 19:1.000000 3:1.000000 479:1.000000 2498:1.000000 1:1.000000 1718:0.033613
1 qid:2 89:0.992019 19:0.169201 3:0.999491 479:0.894732 2498:0.033855 1:0.962579 1718:1.000000
0 qid:2 89:0.989263 19:0.070680 3:0.775125 479:0.020126 2498:0.000519 1:0.632420 1718:0.000000
0 qid:2 89:0.000000 19:0.005178 3:0.235375 479:0.017162 2498:0.000521 1:0.245840 1718:0.001441
0 qid:2 89:0.316089 19:0.007969 3:0.000000 479:0.018643 2498:0.000534 1:0.629126 1718:0.002941
0 qid:2 89:0.178070 19:0.000000 3:0.037751 479:0.019839 2498:0.000534 1:0.631793 1718:0.000262
0 qid:2 89:0.126437 19:0.005956 3:0.019335 479:0.019415 2498:0.000534 1:0.630856 1718:0.001074
0 qid:2 89:0.989263 19:0.070680 3:0.775125 479:0.020126 2498:0.000519 1:0.632420 1718:0.000000
0 qid:2 89:0.989263 19:0.070680 3:0.775125 479:0.020126 2498:0.000519 1:0.632420 1718:0.000000
0 qid:2 89:0.989263 19:0.070680 3:0.775125 479:0.020126 2498:0.000519 1:0.632420 1718:0.000000
0 qid:2 89:0.989263 19:0.070680 3:0.775125 479:0.020126 2498:0.000519 1:0.632420 1718:0.000000
0 qid:2 89:0.989263 19:0.070680 3:0.775125 479:0.020126 2498:0.000519 1:0.632420 1718:0.000000
0 qid:2 89:0.989263 19:0.070680 3:0.775125 479:0.020126 2498:0.000519 1:0.632420 1718:0.000000
0 qid:2 89:0.989263 19:0.070680 3:0.775125 479:0.020126 2498:0.000519 1:0.632420 1718:0.000000
0 qid:2 89:0.989263 19:0.070680 3:0.775125 479:0.020126 2498:0.000519 1:0.632420 1718:0.000000
