index,trace,input_val,output_event,input_event
0,['t1'],"{'optional': False, 'SDU': 1, 'NUM': 1, 'block': False}",!U.DIS();,?PDU.DR();
1,"['t1', 't2']","{'optional': False, 'SDU': 1, 'NUM': 1, 'block': False}",!PDU.CR();,?U.CON();
2,"['t1', 't2', 't3']","{'optional': False, 'SDU': 1, 'NUM': 1, 'block': False}",!PDU.CR();,?T.delay();
3,"['t1', 't2', 't3', 't3']","{'optional': False, 'SDU': 1, 'NUM': 1, 'block': False}",!PDU.CR();,?T.delay();
4,"['t1', 't2', 't3', 't3', 't5']","{'optional': False, 'SDU': 1, 'NUM': 1, 'block': False}",!U.DIS();,?PDU.DR();
5,"['t1', 't2', 't3', 't3', 't5', 't1']","{'optional': False, 'SDU': 1, 'NUM': 1, 'block': False}",!U.DIS();,?PDU.DR();
0,['t2'],"{'optional': False, 'SDU': 1, 'NUM': 1, 'block': False}",!PDU.CR();,?U.CON();
1,"['t2', 't5']","{'optional': False, 'SDU': 1, 'NUM': 1, 'block': False}",!U.DIS();,?PDU.DR();
2,"['t2', 't5', 't1']","{'optional': False, 'SDU': 1, 'NUM': 1, 'block': False}",!U.DIS();,?PDU.DR();
3,"['t2', 't5', 't1', 't1']","{'optional': False, 'SDU': 1, 'NUM': 1, 'block': False}",!U.DIS();,?PDU.DR();
4,"['t2', 't5', 't1', 't1', 't2']","{'optional': False, 'SDU': 1, 'NUM': 1, 'block': False}",!PDU.CR();,?U.CON();
0,['t1'],"{'optional': False, 'SDU': 1, 'NUM': 1, 'block': False}",!U.DIS();,?PDU.DR();
1,"['t1', 't2']","{'optional': False, 'SDU': 1, 'NUM': 1, 'block': False}",!PDU.CR();,?U.CON();
2,"['t1', 't2', 't6']","{'optional': False, 'SDU': 1, 'NUM': 1, 'block': False}",!U.Con();,?PDU.CC();
3,"['t1', 't2', 't6', 't8']","{'optional': False, 'SDU': 1, 'NUM': 1, 'block': False}",!U.DIS();,?PDU.DR();
4,"['t1', 't2', 't6', 't8', 't2']","{'optional': False, 'SDU': 1, 'NUM': 1, 'block': False}",!PDU.CR();,?U.CON();
