index,trace,input_val,output_event,input_event
0,['t197'],{'qos': 1},,
1,"['t197', 't30']",{'qos': 0},!U.output(1);,?U.input(qos);
2,"['t197', 't30', 't115']",{'qos': 0},,
3,"['t197', 't30', 't115', 't88']",{'qos': 0},,
4,"['t197', 't30', 't115', 't88', 't33']",{'qos': 1},!U.output(1);,?U.input(qos);
5,"['t197', 't30', 't115', 't88', 't33', 't118']",{'qos': 1},,
6,"['t197', 't30', 't115', 't88', 't33', 't118', 't203']",{'qos': 1},,
7,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148']",{'qos': 1},,
8,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65']",{'qos': 1},,
9,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122']",{'qos': 1},,
10,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207']",{'qos': 1},!U.output(1);,?U.input(qos);
11,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152']",{'qos': 1},,
12,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69']",{'qos': 1},!U.output(1);,?U.input(qos);
13,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69', 't182']",{'qos': 1},,
14,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69', 't182', 't71']",{'qos': 1},,
15,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69', 't182', 't71', 't128']",{'qos': 1},,
16,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69', 't182', 't71', 't128', 't17']",{'qos': 1},,
17,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69', 't182', 't71', 't128', 't17', 't158']",{'qos': 1},,
18,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69', 't182', 't71', 't128', 't17', 't158', 't75']",{'qos': 1},!U.output(0);,?U.input(qos);
19,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69', 't182', 't71', 't128', 't17', 't158', 't75', 't132']",{'qos': 1},!U.output(0);,?U.input(qos);
20,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69', 't182', 't71', 't128', 't17', 't158', 't75', 't132', 't217']",{'qos': 1},,
21,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69', 't182', 't71', 't128', 't17', 't158', 't75', 't132', 't217', 't218']",{'qos': 1},,
22,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69', 't182', 't71', 't128', 't17', 't158', 't75', 't132', 't217', 't218', 't191']",{'qos': 1},,
23,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69', 't182', 't71', 't128', 't17', 't158', 't75', 't132', 't217', 't218', 't191', 't164']",{'qos': 1},,
24,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69', 't182', 't71', 't128', 't17', 't158', 't75', 't132', 't217', 't218', 't191', 't164', 't193']",{'qos': 1},,
25,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69', 't182', 't71', 't128', 't17', 't158', 't75', 't132', 't217', 't218', 't191', 't164', 't193', 't138']",{'qos': 1},!U.output(0);,?U.input(qos);
26,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69', 't182', 't71', 't128', 't17', 't158', 't75', 't132', 't217', 't218', 't191', 't164', 't193', 't138', 't27']",{'qos': 1},!U.output(1);,?U.input(qos);
27,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69', 't182', 't71', 't128', 't17', 't158', 't75', 't132', 't217', 't218', 't191', 't164', 't193', 't138', 't27', 't196']",{'qos': 1},,
28,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69', 't182', 't71', 't128', 't17', 't158', 't75', 't132', 't217', 't218', 't191', 't164', 't193', 't138', 't27', 't196', 't29']",{'qos': 1},,
29,"['t197', 't30', 't115', 't88', 't33', 't118', 't203', 't148', 't65', 't122', 't207', 't152', 't69', 't182', 't71', 't128', 't17', 't158', 't75', 't132', 't217', 't218', 't191', 't164', 't193', 't138', 't27', 't196', 't29', 't170']",{'qos': 1},,
