,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
0,7.268461538,4.624230769,3.664230769,9.673846154,14.48,14.48,14.48,7.268461538,14.72,14.48,14.48,14.48,7.630769231,14.72,14.48038462,14.48,4.626153846
1,15.44192308,9.672692308,10.51423077,20.49,25.53884615,25.53884615,25.53884615,15.44192308,26.13961538,25.53884615,25.53884615,25.53884615,19.28884615,26.13961538,23.13423077,25.53884615,8.951538462
2,12.79730769,8.831153846,12.79923077,17.48615385,24.33576923,24.33576923,24.33576923,12.79730769,23.49461538,24.33576923,24.33576923,24.33576923,19.16884615,23.49461538,26.37961538,24.33576923,8.591923077
3,14.36038462,8.23,8.952307692,16.88461538,23.37423077,23.37423077,23.37423077,14.36038462,22.77346154,23.37423077,23.37423077,23.37423077,17.00538462,22.77346154,25.53769231,23.37423077,8.711538462
4,8.231153846,5.345769231,7.509230769,13.39884615,19.04884615,19.04884615,19.04884615,8.231153846,19.16846154,19.04884615,19.04884615,19.04884615,12.43807692,19.16846154,19.04807692,19.04884615,4.745
5,7.990769231,4.745,8.231538462,12.31846154,18.92692308,18.92692308,18.92692308,7.990769231,18.56615385,18.92692308,18.92692308,18.92692308,13.03884615,18.56615385,21.57192308,19.16730769,4.144615385
6,10.03538462,1.38,5.106538462,16.64538462,23.975,23.975,23.975,10.03538462,23.37384615,23.975,23.975,23.975,15.68346154,23.37384615,26.38,23.975,4.385384615
7,14.24076923,11.35615385,13.75961538,19.16769231,25.05807692,25.05807692,25.05807692,14.24076923,24.93769231,25.05807692,25.05807692,25.05807692,19.40923077,24.93769231,24.81769231,25.05807692,7.869615385
8,0.057692308,-0.904230769,1.020769231,6.549615385,8.59,8.59,8.59,0.178076923,9.070384615,8.59,8.59,8.59,2.223076923,9.070384615,8.831538462,8.35,1.743846154
9,5.105,6.547307692,5.826923077,7.749615385,12.67807692,12.67807692,12.67807692,5.105,12.67730769,12.67807692,12.67807692,12.67807692,5.827307692,12.67730769,12.31653846,12.67807692,0.538461538
10,12.43730769,10.03346154,12.43807692,17.48615385,23.85538462,23.85538462,23.85538462,12.43730769,23.73461538,23.85538462,23.85538462,23.85538462,17.96653846,23.73461538,23.495,23.85538462,6.428076923
11,9.072307692,0.658076923,1.140384615,13.28,19.16692308,19.16692308,19.16692308,9.072307692,18.80615385,19.16692308,19.16692308,19.16692308,10.515,18.80615385,21.81192308,19.16692308,4.386153846
12,5.585769231,4.984615385,5.827307692,12.19730769,17.245,17.245,17.36538462,5.585769231,17.96615385,17.36538462,17.36538462,17.36538462,9.192692308,17.84576923,14.84076923,17.36538462,4.024230769
13,8.591153846,5.946153846,8.11,13.75846154,19.52961538,19.52961538,19.65,8.591153846,19.77038462,19.65,19.65,19.65,12.79807692,19.65,19.64846154,19.65,5.345
14,10.99538462,5.346153846,7.63,16.765,22.77384615,22.77384615,22.89423077,10.99538462,22.89384615,22.89423077,22.89423077,22.89423077,15.68230769,22.77346154,22.89461538,22.89423077,7.870769231
15,11.35653846,12.55807692,16.28384615,13.76038462,20.25,20.25,20.37038462,11.35653846,19.76846154,20.37038462,20.37038462,20.37038462,16.76461538,19.64807692,22.41423077,20.61076923,8.832307692
16,11.35576923,7.148076923,7.75,12.31653846,17.84615385,17.84615385,17.84615385,11.35576923,17.36576923,17.84615385,17.84615385,17.84615385,13.15884615,17.36576923,20.36961538,17.84615385,7.388846154
17,8.230384615,3.181923077,5.226153846,14.60115385,20.25,20.25,20.25,8.230384615,20.49,20.25,20.25,20.25,12.07769231,20.49,20.48961538,20.25,2.822307692
18,17.96692308,13.63961538,17.48538462,21.45153846,24.93769231,24.93769231,25.05807692,18.08730769,24.45692308,25.05807692,25.05807692,25.05807692,22.65307692,24.33653846,27.22153846,24.81807692,13.15807692
19,14.12076923,7.990769231,10.39423077,19.40884615,25.41846154,25.41846154,25.41846154,14.12076923,25.29769231,25.41846154,25.41846154,25.41846154,19.28961538,25.29769231,25.29846154,25.41846154,7.63
20,15.32269231,11.83653846,14.24038462,19.64884615,25.53884615,25.53884615,25.53884615,15.32269231,25.41807692,25.53884615,25.53884615,25.53884615,20.61153846,25.41807692,25.29807692,25.53884615,8.350769231
21,7.269230769,6.187307692,6.668461538,8.230384615,13.75961538,13.75961538,13.75961538,7.269230769,13.39884615,13.75961538,13.75961538,13.75961538,8.472307692,13.39884615,16.04346154,13.75961538,3.423076923
22,16.04307692,6.908076923,7.870769231,19.52961538,25.89807692,25.89807692,25.89807692,16.04307692,25.05653846,25.89807692,25.89807692,25.89807692,18.68730769,25.05653846,28.06192308,25.89807692,10.63576923
23,10.275,6.788846154,8.951153846,14.60076923,20.25076923,20.25076923,20.25076923,10.275,20.37038462,20.25076923,20.25076923,20.25076923,14.48076923,20.37038462,20.25038462,20.49115385,6.066923077
