,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
0,-8.108186811,18.4415157,17.15573687,6.411453592,26.3937592,27.14248914,27.14248914,-5.645226256,16.20362888,25.05393017,23.61094287,23.61094287,12.92336506,33.37091441,33.90798328,24.87686924,8.00122825
1,-3.56391001,-6.204886827,-6.113976407,5.674572317,30.26396197,30.26396197,30.50281932,7.248578685,15.52840993,28.84375283,26.83116751,26.83116751,17.08714151,34.1778902,34.91963432,28.44122315,7.91742551
2,-8.448170435,7.032673468,6.754760154,5.464229436,28.42947238,28.76246431,28.76246431,-4.606816815,17.59995581,28.42947238,26.21406744,26.21406744,16.81213481,32.77861577,33.56049233,27.05172364,8.249680755
3,-3.491417601,-6.10576272,-6.051864146,4.786366397,26.54722903,26.54722903,26.82219631,7.125911071,13.17470027,24.29257024,23.53694661,23.53694661,17.3596661,31.00222821,31.3076416,25.1644634,7.861429592
4,-8.031463258,7.032632091,6.581939911,5.494257769,27.80118256,28.13271993,28.13271993,-5.801402161,15.19206657,27.21358158,25.1415711,25.1415711,16.27940096,31.87297779,32.6783549,26.09672168,8.33532488
5,-1.072030017,7.246059821,7.341112143,6.197451756,26.29360978,26.43915399,27.08669487,13.69329254,17.91040518,26.43022625,25.73500364,25.73500364,20.54407783,34.98868893,35.27452745,26.57332206,7.959116282
6,-7.427361925,18.02356354,16.97726427,6.389932063,25.75063311,26.09609874,26.09609874,7.218223009,13.87591394,23.72704839,23.28472701,23.28472701,18.33216734,34.5711567,34.81696202,24.48946549,7.967110487
7,-3.491444672,18.34943323,17.86631404,5.879758588,29.78591529,30.43556624,30.64737315,7.268963026,14.96772355,28.32339042,27.67875611,27.67875611,20.57051402,35.31781302,35.42838201,28.90915846,14.80716713
8,-7.850494243,7.011790974,6.564207253,6.368544662,27.33273939,27.65278119,27.65278119,-5.028342512,14.60327916,26.03860701,24.31767946,24.31767946,15.83569495,32.40142841,32.97735553,25.71190173,6.856516377
9,-3.558584616,17.65179586,17.11865415,3.748385879,29.34177719,29.86164205,30.19701783,7.24539503,12.01899685,28.46738169,27.42575179,27.42575179,21.37064097,35.00067806,35.27578958,28.3169462,7.886572138
10,-8.031463258,7.084352672,6.754799719,5.674988583,25.53795043,25.71166221,25.71166221,-5.421739387,15.14289512,24.1195146,23.22159944,23.22159944,16.4139615,30.65843951,31.02047712,24.50303867,6.925263486
11,-7.6503704,6.487944963,5.688739411,4.28031321,28.28774078,28.28774078,28.28774078,-5.900645166,13.73454024,26.19193285,25.31687799,25.31687799,21.54050904,34.44477782,34.78101367,26.5871437,7.992913199
12,-3.432008473,7.694391214,7.071168255,6.085904622,26.68406524,26.81490328,27.13504687,13.50880621,14.19466195,25.70050203,24.84719236,24.84719236,20.40315636,35.46384534,35.84463389,26.09844883,7.91742551
13,-8.613822058,13.03710175,11.75471198,5.644962473,27.74478571,28.07140798,28.07140798,-5.994910331,14.23946777,25.89624772,24.04154456,24.04154456,15.37557755,31.11399678,31.99343824,25.64219323,7.411513149
14,-8.506844186,13.54121684,12.67997076,4.432741708,19.68558153,20.65646648,20.65646648,-7.152184259,11.63045422,18.55216932,18.55216932,18.55216932,13.78665847,20.923767,20.923767,19.21393761,7.809796603
15,-8.343007601,13.58654253,12.86295991,4.546587606,26.15012962,26.9069505,26.9069505,-6.213066953,14.32993635,25.28368416,24.09906603,24.09906603,16.11060184,29.76912799,30.21689434,24.99571244,8.527198437
16,-8.343007601,13.55381352,12.83207693,6.075286053,24.78335412,25.23654686,25.23654686,-5.609439976,15.38639684,23.6093376,22.03276049,22.03276049,15.47195394,32.29475463,33.00604324,23.25269267,6.893671867
17,-8.175279865,6.994959022,6.404151333,4.656028952,24.90449651,25.217385,25.217385,-5.909848452,13.04933956,24.3614533,22.40658454,22.40658454,15.18146382,29.75810865,30.64750432,23.29468315,8.412430104
18,-8.89546821,14.1051538,13.22529602,5.123648866,24.25713547,24.82343145,24.82343145,7.313594542,15.36329057,23.63729326,22.93583999,22.93583999,17.69933913,30.28723227,30.66706641,23.73906654,7.801942269
19,-7.902297175,7.625619622,6.55577945,7.334901284,28.49411504,28.6298764,28.6298764,-5.552282376,15.69991446,26.51635628,24.68749895,24.68749895,14.24506365,34.30138786,34.90010079,26.2554025,14.78437304
20,-3.554827788,13.92026248,13.35053292,4.283618522,26.23796207,26.64995382,26.8715537,13.57654932,14.71818962,25.33663311,24.99002306,24.99002306,19.80526265,33.80480597,33.94541003,25.73035911,14.75577848
21,-8.343007601,18.61275855,17.56092292,6.231122254,27.63509714,28.39025575,28.39025575,-5.249728008,15.47294054,26.4658757,25.72196848,25.72196848,19.31677537,32.48877435,32.81540161,26.76991247,7.861429592
22,-3.491444672,7.101528058,6.884620879,5.2591375,26.40588571,26.71158796,26.96863125,13.51887128,14.34075668,25.27678509,24.87273886,24.87273886,19.3606661,31.99243657,32.32498219,25.9920366,6.943913978
23,-1.141579709,13.50151293,13.67654058,5.041127427,27.90937407,28.48071441,29.08503981,13.57141023,17.67745916,27.19148942,26.66273037,26.66273037,19.40082436,35.14502468,35.12761189,27.33481047,14.72965545
24,-8.252505535,22.26016062,20.97774518,4.430991067,28.74003721,29.67619574,29.67619574,-4.94514472,17.57334097,27.84363861,26.04495292,26.04495292,17.37005656,34.80730055,35.566496,27.11194522,7.944124486
25,-8.175279865,13.98394284,12.92713908,6.881532285,27.33438653,27.74842476,27.74842476,-4.717308949,16.85003984,26.86708107,24.57061646,24.57061646,14.05078418,34.65029449,35.50217614,25.64050379,7.848275638
26,-8.613822058,7.017492848,6.925865507,6.61662702,24.92662135,25.25015261,25.25015261,-5.097985027,15.34159587,23.2648884,21.91491402,21.91491402,13.58800318,32.4305928,32.60532272,22.9692026,14.63424286
27,-3.303154142,14.00022062,13.33285475,6.41689045,27.78070495,28.19569082,28.42138201,7.194656439,17.61464706,26.74636771,25.89164006,25.89164006,16.89180437,35.70773206,36.01087278,26.96105179,8.031887892
28,-3.62804156,7.080930965,7.033626885,4.695339519,24.96103662,25.3583587,25.89113884,13.61350198,16.59482229,25.70349854,24.54606033,24.54606033,18.14376998,31.59308638,32.01511307,25.11973692,7.985106414
29,-8.307265956,14.06977301,13.03875535,4.955395392,27.75734595,28.10779571,28.10779571,-5.809629457,16.31060525,26.96640206,25.88416937,25.88416937,17.9067273,32.07629338,32.47896325,26.6992641,7.861429592
