,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1642,2537,2116,combine
median_Examscore(%),6.67,6.67,13.33,58.335,16.665,58.335,58.335,58.335,6.67,100.0,100.0,100.0,58.335,58.335,6.67,26.67,6.67,6.67,6.67,6.67
mean_Examscore(%),7.859642857142854,8.216785714285711,12.616428571428571,47.738214285714285,20.594642857142862,44.643214285714286,44.762499999999996,47.738214285714285,10.239642857142858,87.61928571428571,61.90500000000001,61.30821428571429,46.19107142857143,46.07107142857143,11.073571428571428,35.59392857142858,9.76392857142857,6.072857142857141,5.834285714285714,6.192142857142856
sd_Examscore(%),6.491957122095944,3.9004482682278594,4.290522901988378,33.212227673907876,15.558239803835484,36.29416982601735,36.1585948621819,33.212227673907876,17.139938519735633,30.04735052454665,45.13727058979416,45.81688917561033,34.6270429897924,35.04548540051446,17.214617004869396,26.48245084038159,17.116011637209162,2.0408837177081764,2.6666686507929125,1.9710447636513635
Total_acc1,2.0,2.0,4.0,3.0,7.0,7.0,6.0,3.0,4.0,3.0,3.0,7.0,3.0,7.0,2.0,7.0,4.0,7.0,10.0,6.0
Total_acc2,26.0,22.0,4.0,3.0,9.0,8.0,8.0,3.0,23.0,3.0,7.0,7.0,3.0,7.0,22.0,7.0,24.0,27.0,27.0,27.0
Total_acc3,26.0,23.0,4.0,3.0,11.0,11.0,11.0,3.0,24.0,3.0,8.0,7.0,8.0,7.0,24.0,7.0,27.0,27.0,27.0,27.0
Total_acc5,27.0,28.0,26.0,9.0,14.0,12.0,12.0,9.0,27.0,3.0,9.0,9.0,12.0,9.0,25.0,9.0,27.0,28.0,28.0,28.0
rate_acc1,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.10714285714285714,0.25,0.25,0.21428571428571427,0.10714285714285714,0.14285714285714285,0.10714285714285714,0.10714285714285714,0.25,0.10714285714285714,0.25,0.07142857142857142,0.25,0.14285714285714285,0.25,0.35714285714285715,0.21428571428571427
rate_acc2,0.9285714285714286,0.7857142857142857,0.14285714285714285,0.10714285714285714,0.32142857142857145,0.2857142857142857,0.2857142857142857,0.10714285714285714,0.8214285714285714,0.10714285714285714,0.25,0.25,0.10714285714285714,0.25,0.7857142857142857,0.25,0.8571428571428571,0.9642857142857143,0.9642857142857143,0.9642857142857143
rate_acc3,0.9285714285714286,0.8214285714285714,0.14285714285714285,0.10714285714285714,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.10714285714285714,0.8571428571428571,0.10714285714285714,0.2857142857142857,0.25,0.2857142857142857,0.25,0.8571428571428571,0.25,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143
rate_acc5,0.9642857142857143,1.0,0.9285714285714286,0.32142857142857145,0.5,0.42857142857142855,0.42857142857142855,0.32142857142857145,0.9642857142857143,0.10714285714285714,0.32142857142857145,0.32142857142857145,0.42857142857142855,0.32142857142857145,0.8928571428571429,0.32142857142857145,0.9642857142857143,1.0,1.0,1.0
