,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1642,2537,2116,combine
ATMMut129_T6,2.0,2.0,4.0,8.0,4.0,8.0,8.0,8.0,2.0,30.0,30.0,30.0,8.0,8.0,2.0,8.0,2.0,2.0,2.0,2.0
ATMMut185_T5,2.0,5.0,5.0,4.0,1.0,3.0,3.0,4.0,3.0,29.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,1.0,1.0
ATMMut147_T23,2.0,2.0,4.0,26.0,6.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,22.0,2.0,2.0,2.0,2.0
ATMMut70_T24,2.0,2.0,4.0,24.0,4.0,24.0,24.0,24.0,2.0,30.0,30.0,30.0,24.0,24.0,2.0,8.0,2.0,2.0,2.0,2.0
ATMMut124_T29,2.0,5.0,6.0,8.0,3.0,3.0,3.0,8.0,2.0,29.0,8.0,7.0,5.0,7.0,2.0,7.0,2.0,1.0,1.0,2.0
ATMMut151_T12,2.0,2.0,4.0,20.0,12.0,20.0,20.0,20.0,2.0,30.0,30.0,30.0,20.0,20.0,2.0,19.0,2.0,2.0,2.0,2.0
ATMMut171_T11,2.0,3.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,29.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0
ATMMut69_T16,2.0,2.0,4.0,19.0,14.0,19.0,19.0,19.0,4.0,30.0,30.0,30.0,19.0,19.0,2.0,19.0,2.0,2.0,2.0,2.0
ATMMut153_T29,2.0,5.0,6.0,8.0,3.0,3.0,3.0,8.0,2.0,29.0,8.0,7.0,5.0,7.0,2.0,7.0,2.0,1.0,1.0,2.0
ATMMut177_T15,2.0,2.0,4.0,18.0,11.0,18.0,18.0,18.0,4.0,30.0,30.0,30.0,18.0,18.0,2.0,16.0,3.0,2.0,2.0,2.0
ATMMut150_T28,2.0,2.0,4.0,29.0,8.0,29.0,29.0,29.0,2.0,30.0,30.0,30.0,29.0,29.0,2.0,12.0,2.0,2.0,2.0,2.0
ATMMut85_T1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
ATMMut41_T11,2.0,2.0,4.0,17.0,13.0,17.0,17.0,17.0,2.0,30.0,30.0,30.0,17.0,17.0,2.0,17.0,2.0,2.0,2.0,2.0
ATMMut131_T23,2.0,2.0,4.0,26.0,6.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,22.0,2.0,2.0,2.0,2.0
ATMMut39_T1,12.0,5.0,1.0,1.0,11.0,5.0,5.0,1.0,29.0,1.0,1.0,1.0,1.0,1.0,29.0,1.0,29.0,4.0,5.0,4.0
ATMMut133_T17,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,25.0,2.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0
ATMMut108_T18,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,29.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0
ATMMut3_T23,2.0,2.0,4.0,26.0,6.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,22.0,2.0,2.0,2.0,2.0
ATMMut102_T13,2.0,2.0,4.0,20.0,10.0,20.0,20.0,20.0,2.0,30.0,30.0,30.0,20.0,20.0,2.0,17.0,2.0,2.0,2.0,2.0
ATMMut138_T15,2.0,2.0,4.0,18.0,11.0,18.0,18.0,18.0,4.0,30.0,30.0,30.0,18.0,18.0,2.0,16.0,3.0,2.0,2.0,2.0
ATMMut24_T15,4.0,4.0,5.0,6.0,2.0,2.0,2.0,6.0,1.0,29.0,6.0,6.0,4.0,6.0,4.0,6.0,1.0,1.0,1.0,2.0
ATMMut192_T18,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,29.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0
ATMMut168_T1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATMMut167_T21,2.0,2.0,4.0,25.0,12.0,25.0,25.0,25.0,2.0,30.0,30.0,30.0,25.0,25.0,2.0,18.0,2.0,2.0,2.0,2.0
ATMMut173_T20,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0
ATMMut146_T24,2.0,2.0,4.0,24.0,4.0,24.0,24.0,24.0,2.0,30.0,30.0,30.0,24.0,24.0,2.0,8.0,2.0,2.0,2.0,2.0
ATMMut97_T17,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,25.0,2.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0
ATMMut37_T19,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0
