,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,7,1017,856,90,combine
median_Examscore(%),6.67,6.67,13.33,83.33,31.67,83.33,83.33,83.33,6.67,100.0,100.0,100.0,83.33,83.33,6.67,46.665,6.67,6.67,6.67,6.67,6.67
mean_Examscore(%),7.383571428571426,10.241071428571429,15.711428571428566,56.66678571428573,25.475714285714282,55.11928571428573,54.881071428571445,56.66678571428573,12.144642857142857,87.73785714285714,74.04785714285715,73.68999999999998,55.9525,55.595357142857154,12.740357142857146,41.31,6.788571428571426,6.907142857142856,6.907142857142856,6.907142857142856,6.66892857142857
sd_Examscore(%),1.8918131892068901,16.994959021511555,16.7499472004222,36.277735346604906,15.29573661940342,38.25953262270642,38.57036420758586,36.277735346604906,17.31372704856379,27.875136320163985,41.87297779370567,42.47896324674742,37.16709423022626,37.71337541314633,17.285784029003565,25.88991767149979,1.4287723668207177,1.7978379137233604,1.7978379137233604,1.7978379137233604,1.8146652365202016
Total_acc1,0.0,0.0,2.0,1.0,4.0,4.0,5.0,1.0,2.0,1.0,1.0,4.0,2.0,4.0,0.0,4.0,1.0,2.0,2.0,2.0,3.0
Total_acc2,24.0,25.0,2.0,2.0,5.0,6.0,7.0,2.0,20.0,1.0,5.0,5.0,2.0,5.0,20.0,5.0,27.0,25.0,25.0,25.0,26.0
Total_acc3,26.0,26.0,3.0,3.0,7.0,7.0,7.0,3.0,21.0,1.0,6.0,6.0,6.0,6.0,20.0,6.0,27.0,27.0,27.0,27.0,27.0
Total_acc5,28.0,27.0,27.0,7.0,12.0,8.0,8.0,7.0,23.0,3.0,7.0,7.0,8.0,7.0,23.0,7.0,28.0,28.0,28.0,28.0,28.0
rate_acc1,0.0,0.0,0.07142857142857142,0.03571428571428571,0.14285714285714285,0.14285714285714285,0.17857142857142858,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.0,0.14285714285714285,0.03571428571428571,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714
rate_acc2,0.8571428571428571,0.8928571428571429,0.07142857142857142,0.07142857142857142,0.17857142857142858,0.21428571428571427,0.25,0.07142857142857142,0.7142857142857143,0.03571428571428571,0.17857142857142858,0.17857142857142858,0.07142857142857142,0.17857142857142858,0.7142857142857143,0.17857142857142858,0.9642857142857143,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9285714285714286
rate_acc3,0.9285714285714286,0.9285714285714286,0.10714285714285714,0.10714285714285714,0.25,0.25,0.25,0.10714285714285714,0.75,0.03571428571428571,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.7142857142857143,0.21428571428571427,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143
rate_acc5,1.0,0.9642857142857143,0.9642857142857143,0.25,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.25,0.8214285714285714,0.10714285714285714,0.25,0.25,0.2857142857142857,0.25,0.8214285714285714,0.25,1.0,1.0,1.0,1.0,1.0
