,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,926,779,1279,468,2978,combine
ATMMut174_T19,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut54_T22,2.0,2.0,4.0,27.0,12.0,27.0,27.0,27.0,6.0,30.0,30.0,30.0,27.0,27.0,2.0,21.0,2.0,2.0,2.0,3.0,2.0,2.0
ATMMut75_T19,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut123_T15,2.0,2.0,4.0,18.0,11.0,18.0,18.0,18.0,4.0,30.0,30.0,30.0,18.0,18.0,2.0,16.0,2.0,2.0,2.0,3.0,2.0,2.0
ATMMut102_T13,2.0,2.0,4.0,20.0,10.0,20.0,20.0,20.0,2.0,30.0,30.0,30.0,20.0,20.0,2.0,17.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut119_T21,2.0,2.0,4.0,25.0,12.0,25.0,25.0,25.0,2.0,30.0,30.0,30.0,25.0,25.0,2.0,18.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut23_T15,2.0,2.0,4.0,18.0,11.0,18.0,18.0,18.0,4.0,30.0,30.0,30.0,18.0,18.0,2.0,16.0,2.0,2.0,2.0,3.0,2.0,2.0
ATMMut42_T2,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,23.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
ATMMut169_T11,2.0,3.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,29.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
ATMMut153_T29,2.0,5.0,6.0,8.0,3.0,3.0,3.0,8.0,2.0,29.0,8.0,7.0,5.0,7.0,2.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0
