,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1810,1646,1085,495,2117,1323,combine
median_Examscore(%),6.67,6.67,13.33,23.335,13.33,16.67,16.67,23.335,6.67,96.67,23.335,21.665,15.0,21.665,6.67,21.665,6.67,6.67,6.67,6.67,6.67,6.67,6.67
mean_Examscore(%),9.168928571428568,14.40714285714286,17.735357142857143,36.190000000000005,17.975714285714286,33.809285714285714,33.571071428571436,36.190000000000005,14.286428571428576,76.19035714285714,50.83357142857143,50.23678571428572,34.880714285714284,34.16571428571429,16.07321428571429,27.260357142857142,8.573214285714286,6.31,6.071785714285714,6.071785714285714,5.952857142857142,12.977857142857147,5.953571428571428
sd_Examscore(%),8.870850032043453,23.969169990905193,23.67654058222609,32.72008387655645,15.272608360642465,34.48362863614187,34.67669367161046,32.72008387655645,23.603243847103304,37.9384291131226,46.85683919520266,47.41963408434446,33.57368997787045,34.351487587452446,23.483875169771665,25.804885193848946,4.752388135392351,3.8866371258644863,3.1513431041047184,3.1513431041047184,3.059090711115965,23.715942341893594,2.1014002638200724
Total_acc1,2.0,2.0,6.0,4.0,8.0,9.0,10.0,4.0,5.0,4.0,5.0,10.0,5.0,10.0,2.0,10.0,5.0,11.0,11.0,11.0,11.0,5.0,8.0
Total_acc2,24.0,21.0,6.0,6.0,11.0,11.0,12.0,6.0,19.0,5.0,11.0,11.0,6.0,11.0,18.0,11.0,20.0,25.0,25.0,25.0,26.0,22.0,27.0
Total_acc3,25.0,22.0,6.0,7.0,13.0,13.0,13.0,7.0,20.0,5.0,13.0,12.0,12.0,12.0,19.0,12.0,21.0,26.0,26.0,26.0,26.0,26.0,27.0
Total_acc5,26.0,26.0,25.0,13.0,17.0,15.0,15.0,13.0,25.0,6.0,13.0,13.0,15.0,13.0,21.0,13.0,28.0,27.0,28.0,28.0,28.0,26.0,28.0
rate_acc1,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.2857142857142857,0.32142857142857145,0.35714285714285715,0.14285714285714285,0.17857142857142858,0.14285714285714285,0.17857142857142858,0.35714285714285715,0.17857142857142858,0.35714285714285715,0.07142857142857142,0.35714285714285715,0.17857142857142858,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.17857142857142858,0.2857142857142857
rate_acc2,0.8571428571428571,0.75,0.21428571428571427,0.21428571428571427,0.39285714285714285,0.39285714285714285,0.42857142857142855,0.21428571428571427,0.6785714285714286,0.17857142857142858,0.39285714285714285,0.39285714285714285,0.21428571428571427,0.39285714285714285,0.6428571428571429,0.39285714285714285,0.7142857142857143,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9285714285714286,0.7857142857142857,0.9642857142857143
rate_acc3,0.8928571428571429,0.7857142857142857,0.21428571428571427,0.25,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.25,0.7142857142857143,0.17857142857142858,0.4642857142857143,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6785714285714286,0.42857142857142855,0.75,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9642857142857143
rate_acc5,0.9285714285714286,0.9285714285714286,0.8928571428571429,0.4642857142857143,0.6071428571428571,0.5357142857142857,0.5357142857142857,0.4642857142857143,0.8928571428571429,0.21428571428571427,0.4642857142857143,0.4642857142857143,0.5357142857142857,0.4642857142857143,0.75,0.4642857142857143,1.0,0.9642857142857143,1.0,1.0,1.0,0.9285714285714286,1.0
