,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1133,683,2577,1322,1013,5,396,combine
ATMMut160_T24,2.0,2.0,4.0,24.0,4.0,24.0,24.0,24.0,2.0,30.0,30.0,30.0,24.0,24.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut161_T4,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
ATMMut163_T6,2.0,5.0,5.0,4.0,1.0,3.0,3.0,4.0,1.0,29.0,4.0,4.0,3.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATMMut165_T29,2.0,2.0,4.0,29.0,8.0,29.0,29.0,29.0,4.0,30.0,30.0,30.0,29.0,29.0,2.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut166_T17,2.0,2.0,4.0,25.0,11.0,25.0,25.0,25.0,2.0,30.0,30.0,30.0,25.0,25.0,2.0,18.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut167_T21,2.0,2.0,4.0,25.0,12.0,25.0,25.0,25.0,2.0,30.0,30.0,30.0,25.0,25.0,2.0,18.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut168_T1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATMMut169_T11,2.0,3.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,29.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATMMut170_T21,2.0,2.0,4.0,25.0,12.0,25.0,25.0,25.0,2.0,30.0,30.0,30.0,25.0,25.0,2.0,18.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut171_T11,2.0,3.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,29.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATMMut172_T19,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut173_T20,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut174_T19,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut177_T15,2.0,2.0,4.0,18.0,11.0,18.0,18.0,18.0,4.0,30.0,30.0,30.0,18.0,18.0,2.0,16.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
ATMMut182_T20,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut183_T15,4.0,4.0,5.0,6.0,2.0,2.0,2.0,6.0,1.0,29.0,6.0,6.0,4.0,6.0,4.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATMMut185_T5,2.0,5.0,5.0,4.0,1.0,3.0,3.0,4.0,3.0,29.0,4.0,4.0,3.0,4.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
ATMMut186_T15,4.0,4.0,5.0,6.0,2.0,2.0,2.0,6.0,1.0,29.0,6.0,6.0,4.0,6.0,4.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATMMut187_T23,2.0,2.0,4.0,26.0,6.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut189_T22,2.0,2.0,4.0,27.0,12.0,27.0,27.0,27.0,6.0,30.0,30.0,30.0,27.0,27.0,2.0,21.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
ATMMut192_T18,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,29.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0
ATMMut193_T5,3.0,29.0,30.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0
ATMMut194_T22,2.0,2.0,4.0,27.0,12.0,27.0,27.0,27.0,6.0,30.0,30.0,30.0,27.0,27.0,2.0,21.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
ATMMut195_T24,2.0,2.0,4.0,24.0,4.0,24.0,24.0,24.0,2.0,30.0,30.0,30.0,24.0,24.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut196_T21,2.0,2.0,4.0,25.0,12.0,25.0,25.0,25.0,2.0,30.0,30.0,30.0,25.0,25.0,2.0,18.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut197_T19,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut199_T22,2.0,2.0,4.0,27.0,12.0,27.0,27.0,27.0,6.0,30.0,30.0,30.0,27.0,27.0,2.0,21.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
ATMMut200_T17,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,25.0,2.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0
