,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2512,2338,2176,1050,146,96,combine
median_Examscore(%),69.445,69.445,8.334999999999999,8.334999999999999,13.89,16.67,16.67,8.334999999999999,11.11,16.67,16.67,16.67,11.11,16.67,88.89,16.67,11.11,8.334999999999999,8.334999999999999,8.334999999999999,11.11,11.11,11.11
mean_Examscore(%),47.862307692307695,47.862307692307695,17.310769230769235,20.940769230769224,13.463076923076924,22.223076923076917,22.00961538461538,20.940769230769224,29.91576923076923,23.291153846153836,22.223076923076917,22.223076923076917,22.00807692307692,22.223076923076917,62.60653846153845,22.223076923076917,12.39423076923077,10.259615384615389,8.335000000000004,12.180769230769231,10.473076923076928,12.39423076923077,10.473076923076928
sd_Examscore(%),30.146393125240348,30.146393125240348,20.8636173130312,18.609047675381333,7.561506606083616,17.9122281738997,18.082224305824596,18.609047675381333,36.108857879814146,18.523081239777163,17.9122281738997,17.9122281738997,17.808063795759665,17.9122281738997,42.76163822327743,17.9122281738997,7.583240559590297,5.137520398611946,2.8299558300439953,7.698080759813798,5.048979912204659,7.583240559590297,5.048979912204659
Total_acc1,1.0,1.0,13.0,13.0,11.0,11.0,12.0,13.0,8.0,13.0,11.0,11.0,8.0,11.0,1.0,11.0,12.0,13.0,13.0,13.0,12.0,12.0,12.0
Total_acc2,10.0,10.0,14.0,16.0,13.0,12.0,12.0,16.0,18.0,13.0,12.0,12.0,16.0,12.0,10.0,12.0,17.0,17.0,26.0,17.0,17.0,17.0,17.0
Total_acc3,10.0,10.0,23.0,16.0,17.0,16.0,16.0,16.0,19.0,13.0,16.0,16.0,16.0,16.0,10.0,16.0,17.0,26.0,26.0,17.0,26.0,17.0,26.0
Total_acc5,10.0,10.0,23.0,16.0,26.0,16.0,16.0,16.0,19.0,14.0,16.0,16.0,16.0,16.0,10.0,16.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
rate_acc1,0.038461538461538464,0.038461538461538464,0.5,0.5,0.4230769230769231,0.4230769230769231,0.46153846153846156,0.5,0.3076923076923077,0.5,0.4230769230769231,0.4230769230769231,0.3076923076923077,0.4230769230769231,0.038461538461538464,0.4230769230769231,0.46153846153846156,0.5,0.5,0.5,0.46153846153846156,0.46153846153846156,0.46153846153846156
rate_acc2,0.38461538461538464,0.38461538461538464,0.5384615384615384,0.6153846153846154,0.5,0.46153846153846156,0.46153846153846156,0.6153846153846154,0.6923076923076923,0.5,0.46153846153846156,0.46153846153846156,0.6153846153846154,0.46153846153846156,0.38461538461538464,0.46153846153846156,0.6538461538461539,0.6538461538461539,1.0,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539
rate_acc3,0.38461538461538464,0.38461538461538464,0.8846153846153846,0.6153846153846154,0.6538461538461539,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.7307692307692307,0.5,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6538461538461539,1.0,1.0,0.6538461538461539,1.0,0.6538461538461539,1.0
rate_acc5,0.38461538461538464,0.38461538461538464,0.8846153846153846,0.6153846153846154,1.0,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.7307692307692307,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,1.0,1.0,1.0,1.0,1.0,1.0,1.0
