,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1742,760,72,238,225,472,650,combine
INRESMut78_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0
INRESMut3_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut93_T2,13.0,13.0,1.0,1.0,3.0,3.0,3.0,1.0,18.0,1.0,3.0,3.0,2.0,3.0,18.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut1_T2,13.0,13.0,1.0,1.0,3.0,3.0,3.0,1.0,18.0,1.0,3.0,3.0,2.0,3.0,18.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut184_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut21_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut185_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0
INRESMut182_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,13.0,5.0,1.0,1.0,2.0,1.0,14.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
INRESMut95_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut170_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0
