,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2028,2040,1122,1922,132,2142,46,2978,combine
median_Examscore(%),66.67,66.67,13.89,11.11,11.11,13.89,11.115,11.11,11.11,33.33,13.89,13.89,11.11,13.89,72.22,13.89,8.334999999999999,8.334999999999999,5.56,11.11,11.115,11.11,5.56,8.334999999999999,5.56
mean_Examscore(%),47.64884615384615,47.64884615384615,19.87461538461539,21.154230769230768,13.035769230769233,21.795769230769228,21.58230769230769,21.154230769230768,28.420384615384613,24.572692307692304,21.795769230769228,21.795769230769228,22.008076923076924,21.795769230769228,61.324230769230766,21.795769230769228,12.180769230769231,10.259615384615389,11.967307692307694,12.39423076923077,11.115000000000006,10.473076923076928,11.967307692307694,12.180769230769231,8.121538461538465
sd_Examscore(%),29.98624542378363,29.98624542378363,23.313772964626594,18.456768552068247,7.685925928905077,18.180508281800467,18.342848046624013,18.456768552068247,33.78662427420286,18.33240400115431,18.180508281800467,18.180508281800467,17.80806379575967,18.180508281800467,42.06068132335252,18.180508281800467,7.698080759813799,5.137520398611947,7.805163704980084,7.583240559590298,5.665010679601586,5.048979912204659,7.805163704980084,7.698080759813799,2.8215707573019566
Total_acc1,1.0,1.0,12.0,12.0,12.0,12.0,13.0,12.0,8.0,12.0,12.0,12.0,8.0,12.0,1.0,12.0,13.0,13.0,14.0,12.0,13.0,12.0,14.0,13.0,14.0
Total_acc2,10.0,10.0,13.0,16.0,14.0,13.0,13.0,16.0,18.0,12.0,13.0,13.0,16.0,13.0,10.0,13.0,17.0,17.0,17.0,17.0,13.0,17.0,17.0,17.0,26.0
Total_acc3,10.0,10.0,22.0,16.0,17.0,16.0,16.0,16.0,19.0,12.0,16.0,16.0,16.0,16.0,10.0,16.0,17.0,26.0,17.0,17.0,26.0,26.0,17.0,17.0,26.0
Total_acc5,10.0,10.0,22.0,16.0,26.0,16.0,16.0,16.0,19.0,12.0,16.0,16.0,16.0,16.0,10.0,16.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
rate_acc1,0.038461538461538464,0.038461538461538464,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.5,0.46153846153846156,0.3076923076923077,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.3076923076923077,0.46153846153846156,0.038461538461538464,0.46153846153846156,0.5,0.5,0.5384615384615384,0.46153846153846156,0.5,0.46153846153846156,0.5384615384615384,0.5,0.5384615384615384
rate_acc2,0.38461538461538464,0.38461538461538464,0.5,0.6153846153846154,0.5384615384615384,0.5,0.5,0.6153846153846154,0.6923076923076923,0.46153846153846156,0.5,0.5,0.6153846153846154,0.5,0.38461538461538464,0.5,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.5,0.6538461538461539,0.6538461538461539,0.6538461538461539,1.0
rate_acc3,0.38461538461538464,0.38461538461538464,0.8461538461538461,0.6153846153846154,0.6538461538461539,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.7307692307692307,0.46153846153846156,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6538461538461539,1.0,0.6538461538461539,0.6538461538461539,1.0,1.0,0.6538461538461539,0.6538461538461539,1.0
rate_acc5,0.38461538461538464,0.38461538461538464,0.8461538461538461,0.6153846153846154,1.0,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.7307692307692307,0.46153846153846156,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
