,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,82,2751,2844,820,2448,2611,1246,2545,2855,combine
median_Examscore(%),69.445,69.445,11.115,8.334999999999999,8.334999999999999,8.334999999999999,5.56,8.334999999999999,11.11,16.67,8.334999999999999,8.334999999999999,11.11,8.334999999999999,88.89,8.334999999999999,5.56,8.334999999999999,5.56,8.334999999999999,5.56,8.334999999999999,8.334999999999999,8.334999999999999,8.334999999999999,5.56
mean_Examscore(%),48.07576923076924,48.07576923076924,17.52461538461539,21.154230769230768,13.03576923076923,21.581923076923083,21.36846153846154,21.154230769230768,22.437307692307698,23.504615384615388,21.581923076923083,21.581923076923083,21.794615384615387,21.581923076923083,62.819999999999986,21.581923076923083,12.394615384615385,10.473461538461542,12.394615384615385,12.608076923076926,10.260000000000003,12.608076923076926,12.608076923076926,12.608076923076926,12.608076923076926,12.394615384615385
sd_Examscore(%),29.853098756822803,29.853098756822803,20.825979204977468,18.85340354908406,8.00039357685704,18.676143289069245,18.8316906712717,18.85340354908406,30.12184795894068,18.740734720019752,18.676143289069245,18.676143289069245,18.38339233781823,18.676143289069245,42.47839158913624,18.676143289069245,8.056425624689517,5.287849424715263,8.056425624689517,7.940789391102508,5.37247056762529,7.940789391102508,7.940789391102508,7.940789391102508,7.940789391102508,8.056425624689517
Total_acc1,0.0,0.0,13.0,13.0,13.0,13.0,14.0,13.0,10.0,13.0,13.0,13.0,10.0,13.0,0.0,13.0,14.0,13.0,14.0,13.0,14.0,13.0,13.0,13.0,13.0,14.0
Total_acc2,10.0,10.0,13.0,16.0,14.0,14.0,14.0,16.0,21.0,13.0,14.0,14.0,16.0,14.0,10.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Total_acc3,10.0,10.0,23.0,16.0,16.0,16.0,16.0,16.0,21.0,13.0,16.0,16.0,16.0,16.0,10.0,16.0,16.0,26.0,16.0,16.0,26.0,16.0,16.0,16.0,16.0,16.0
Total_acc5,10.0,10.0,23.0,16.0,26.0,16.0,16.0,16.0,21.0,14.0,16.0,16.0,16.0,16.0,10.0,16.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
rate_acc1,0.0,0.0,0.5,0.5,0.5,0.5,0.5384615384615384,0.5,0.38461538461538464,0.5,0.5,0.5,0.38461538461538464,0.5,0.0,0.5,0.5384615384615384,0.5,0.5384615384615384,0.5,0.5384615384615384,0.5,0.5,0.5,0.5,0.5384615384615384
rate_acc2,0.38461538461538464,0.38461538461538464,0.5,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.8076923076923077,0.5,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.38461538461538464,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
rate_acc3,0.38461538461538464,0.38461538461538464,0.8846153846153846,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.8076923076923077,0.5,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6153846153846154,1.0,0.6153846153846154,0.6153846153846154,1.0,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
rate_acc5,0.38461538461538464,0.38461538461538464,0.8846153846153846,0.6153846153846154,1.0,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.8076923076923077,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
