,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,82,2751,2844,820,2448,2611,1246,2545,2855,combine
INRESMut113_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut177_T2,13.0,13.0,1.0,1.0,3.0,3.0,3.0,1.0,18.0,1.0,3.0,3.0,2.0,3.0,18.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
INRESMut179_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut192_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,13.0,5.0,1.0,1.0,2.0,1.0,14.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
INRESMut103_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut180_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
INRESMut125_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut8_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
INRESMut196_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
INRESMut100_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
INRESMut144_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut152_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut115_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut57_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
INRESMut55_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
INRESMut156_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut58_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut172_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
INRESMut93_T2,13.0,13.0,1.0,1.0,3.0,3.0,3.0,1.0,18.0,1.0,3.0,3.0,2.0,3.0,18.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut64_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut42_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
INRESMut69_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,12.0,6.0,1.0,1.0,2.0,1.0,13.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
INRESMut81_T2,13.0,13.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,18.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut73_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
INRESMut191_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,12.0,6.0,1.0,1.0,2.0,1.0,13.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
INRESMut185_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
