,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1415,2508,2869,combine
InFlightMut43_T13,12.0,9.0,10.0,16.0,14.0,16.0,16.0,16.0,14.0,16.0,16.0,17.0,16.0,16.0,12.0,16.0,10.0,10.0,10.0,10.0
InFlightMut46_T18,17.0,13.0,14.0,20.0,18.0,20.0,20.0,20.0,18.0,21.0,20.0,21.0,20.0,20.0,17.0,20.0,14.0,14.0,14.0,14.0
InFlightMut45_T19,18.0,14.0,15.0,21.0,19.0,21.0,21.0,21.0,19.0,22.0,21.0,22.0,21.0,21.0,18.0,21.0,15.0,15.0,15.0,15.0
InFlightMut114_T13,12.0,9.0,10.0,16.0,14.0,16.0,16.0,16.0,14.0,16.0,16.0,17.0,16.0,16.0,12.0,16.0,10.0,10.0,10.0,10.0
InFlightMut192_T32,28.0,24.0,26.0,32.0,29.0,32.0,32.0,32.0,29.0,32.0,31.0,32.0,32.0,32.0,28.0,31.0,25.0,25.0,25.0,25.0
InFlightMut190_T16,15.0,11.0,12.0,18.0,16.0,18.0,18.0,18.0,16.0,19.0,18.0,19.0,18.0,18.0,15.0,18.0,12.0,12.0,12.0,12.0
InFlightMut15_T19,18.0,14.0,15.0,21.0,19.0,21.0,21.0,21.0,19.0,22.0,21.0,22.0,21.0,21.0,18.0,21.0,15.0,15.0,15.0,15.0
InFlightMut173_T14,13.0,10.0,11.0,17.0,15.0,17.0,17.0,17.0,15.0,17.0,17.0,18.0,17.0,17.0,13.0,17.0,11.0,11.0,11.0,11.0
InFlightMut185_T5,4.0,4.0,5.0,11.0,9.0,11.0,11.0,11.0,9.0,8.0,11.0,12.0,11.0,11.0,4.0,11.0,5.0,5.0,5.0,5.0
InFlightMut193_T26,23.0,19.0,20.0,26.0,24.0,26.0,26.0,26.0,24.0,27.0,26.0,27.0,26.0,26.0,23.0,26.0,20.0,20.0,20.0,20.0
InFlightMut142_T18,17.0,13.0,14.0,20.0,18.0,20.0,20.0,20.0,18.0,21.0,20.0,21.0,20.0,20.0,17.0,20.0,14.0,14.0,14.0,14.0
InFlightMut150_T31,27.0,23.0,25.0,31.0,28.0,31.0,31.0,31.0,28.0,31.0,30.0,31.0,31.0,31.0,27.0,30.0,24.0,24.0,24.0,24.0
InFlightMut39_T24,22.0,18.0,19.0,25.0,23.0,25.0,25.0,25.0,23.0,26.0,25.0,26.0,25.0,25.0,22.0,25.0,19.0,19.0,19.0,19.0
InFlightMut147_T7,6.0,5.0,6.0,12.0,10.0,12.0,12.0,12.0,10.0,10.0,12.0,13.0,12.0,12.0,6.0,12.0,6.0,6.0,6.0,6.0
InFlightMut187_T27,32.0,32.0,21.0,27.0,32.0,27.0,27.0,27.0,32.0,4.0,32.0,8.0,27.0,27.0,32.0,32.0,26.0,31.0,1.0,27.0
InFlightMut124_T4,3.0,3.0,4.0,10.0,8.0,10.0,10.0,10.0,8.0,7.0,10.0,11.0,10.0,10.0,3.0,10.0,4.0,4.0,4.0,4.0
InFlightMut3_T24,22.0,18.0,19.0,25.0,23.0,25.0,25.0,25.0,23.0,26.0,25.0,26.0,25.0,25.0,22.0,25.0,19.0,19.0,19.0,19.0
InFlightMut146_T32,28.0,24.0,26.0,32.0,29.0,32.0,32.0,32.0,29.0,32.0,31.0,32.0,32.0,32.0,28.0,31.0,25.0,25.0,25.0,25.0
InFlightMut158_T31,27.0,23.0,25.0,31.0,28.0,31.0,31.0,31.0,28.0,31.0,30.0,31.0,31.0,31.0,27.0,30.0,24.0,24.0,24.0,24.0
InFlightMut168_T30,26.0,22.0,24.0,30.0,27.0,30.0,30.0,30.0,27.0,30.0,29.0,30.0,30.0,30.0,26.0,29.0,23.0,23.0,23.0,23.0
InFlightMut176_T29,25.0,21.0,23.0,29.0,26.0,29.0,29.0,29.0,26.0,29.0,28.0,29.0,29.0,29.0,25.0,28.0,22.0,22.0,22.0,22.0
InFlightMut134_T6,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,6.0,9.0,6.0,6.0,5.0,6.0,5.0,5.0,8.0,5.0
InFlightMut169_T20,19.0,15.0,16.0,22.0,20.0,22.0,22.0,22.0,20.0,23.0,22.0,23.0,22.0,22.0,19.0,22.0,16.0,16.0,16.0,16.0
InFlightMut165_T5,4.0,4.0,5.0,11.0,9.0,11.0,11.0,11.0,9.0,8.0,11.0,12.0,11.0,11.0,4.0,11.0,5.0,5.0,5.0,5.0
InFlightMut31_T13,12.0,9.0,10.0,16.0,14.0,16.0,16.0,16.0,14.0,16.0,16.0,17.0,16.0,16.0,12.0,16.0,10.0,10.0,10.0,10.0
InFlightMut48_T4,3.0,3.0,4.0,10.0,8.0,10.0,10.0,10.0,8.0,7.0,10.0,11.0,10.0,10.0,3.0,10.0,4.0,4.0,4.0,4.0
