,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2715,1961,979,76,456,combine
median_Examscore(%),42.19,31.25,34.375,53.125,46.875,53.125,53.125,53.125,46.875,50.0,53.125,53.12,53.125,53.125,42.19,53.125,31.25,31.25,37.5,31.25,34.38,34.375
mean_Examscore(%),44.23153846153846,36.418076923076924,38.581923076923076,57.331538461538464,51.4426923076923,57.331538461538464,57.331538461538464,57.331538461538464,51.4426923076923,52.885384615384616,57.45153846153847,57.57192307692307,57.331538461538464,57.331538461538464,44.23153846153846,57.45153846153847,36.418076923076924,35.57653846153846,41.947307692307696,35.69730769230769,38.82230769230769,39.30346153846154
sd_Examscore(%),28.637324552731204,25.356892714878256,23.282144578063384,23.285760059282183,23.932517553770616,23.285760059282183,23.285760059282183,23.285760059282183,23.932517553770616,27.542041497429956,23.454873044603364,22.780079195513046,23.285760059282183,23.285760059282183,28.637324552731204,23.454873044603364,25.356892714878256,23.45402037047085,23.685959986066393,22.77783353309832,22.77802560498909,24.750491218124573
Total_acc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Total_acc2,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0
Total_acc3,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,6.0,1.0,5.0
Total_acc5,5.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,7.0,5.0,6.0,6.0,5.0
rate_acc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0
rate_acc2,0.19230769230769232,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.19230769230769232,0.19230769230769232,0.0,0.038461538461538464,0.038461538461538464,0.0
rate_acc3,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.19230769230769232,0.19230769230769232,0.0,0.23076923076923078,0.038461538461538464,0.19230769230769232
rate_acc5,0.19230769230769232,0.2692307692307692,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.2692307692307692,0.2692307692307692,0.19230769230769232,0.23076923076923078,0.23076923076923078,0.19230769230769232
