,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2426,2146,2278,1298,2126,1539,1354,combine
median_Examscore(%),68.75,56.25,59.38,78.12,71.88,78.12,78.12,78.12,71.88,81.25,78.12,81.25,78.12,78.12,68.75,78.12,56.25,65.62,56.25,56.25,59.38,62.5,59.38,56.25
mean_Examscore(%),57.21153846153846,47.59615384615385,51.923461538461545,70.67269230769229,63.22153846153847,70.67269230769229,70.67269230769229,70.67269230769229,63.22153846153847,69.71153846153844,69.47076923076922,72.59615384615383,70.67269230769229,70.67269230769229,57.21153846153846,69.47076923076922,47.59615384615385,56.97076923076922,47.59615384615385,47.59615384615385,50.72153846153847,53.84615384615385,50.72153846153847,47.59615384615385
sd_Examscore(%),30.629821637392237,25.59302437414118,26.678218072773557,26.680149858303615,25.59071748776227,26.680149858303615,26.680149858303615,26.680149858303615,25.59071748776227,30.629821637392237,25.592400735073983,25.59302437414118,26.680149858303615,26.680149858303615,30.629821637392237,25.592400735073983,25.59302437414118,25.592400735073987,25.59302437414118,25.59302437414118,25.59071748776227,25.590093720332185,25.59071748776227,25.59302437414118
Total_acc1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0
Total_acc2,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,3.0,0.0,3.0,5.0
Total_acc3,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,6.0,5.0,3.0,5.0,6.0
Total_acc5,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
rate_acc1,0.11538461538461539,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.11538461538461539,0.0,0.11538461538461539,0.11538461538461539,0.0,0.0,0.0,0.11538461538461539
rate_acc2,0.19230769230769232,0.19230769230769232,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.19230769230769232,0.0,0.19230769230769232,0.19230769230769232,0.11538461538461539,0.0,0.11538461538461539,0.19230769230769232
rate_acc3,0.23076923076923078,0.23076923076923078,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.23076923076923078,0.0,0.23076923076923078,0.23076923076923078,0.19230769230769232,0.11538461538461539,0.19230769230769232,0.23076923076923078
rate_acc5,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.23076923076923078,0.19230769230769232,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078
