,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1,1333,9,423,1711,combine
median_Examscore(%),6.67,6.67,13.33,13.33,60.0,60.0,60.0,6.67,26.67,60.0,60.0,60.0,56.67,100.0,100.0,60.0,6.67,6.67,6.67,6.67,6.67,6.67
mean_Examscore(%),8.335714285714282,14.049999999999999,18.092500000000005,21.785000000000004,46.78535714285715,46.666428571428575,46.42821428571428,12.26392857142857,34.40392857142858,47.618214285714295,48.9282142857143,48.9282142857143,51.071785714285724,61.42857142857143,61.070357142857134,47.97571428571429,6.548571428571429,7.263214285714286,6.549285714285714,8.097499999999997,9.763571428571424,6.311071428571429
sd_Examscore(%),6.509695577209157,23.06403437132111,22.561309822923093,16.115079089910605,37.34550352051848,37.47207475937897,37.69039312252074,17.28595240828157,26.201103078176452,36.593182835419704,35.12597688675259,35.12597688675259,28.299683947138643,45.58206613833069,46.00230328228285,36.03160325053872,3.0753821976098625,3.0167729306899975,2.310051993276387,5.321703030811487,17.164073421018582,2.0973604916051105
Total_acc1,1.0,1.0,4.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,2.0,2.0,2.0,3.0,6.0,3.0,8.0,5.0,5.0,1.0,5.0,6.0
Total_acc2,24.0,21.0,4.0,8.0,7.0,8.0,8.0,20.0,6.0,6.0,3.0,3.0,3.0,6.0,6.0,3.0,24.0,21.0,26.0,24.0,24.0,26.0
Total_acc3,25.0,23.0,5.0,10.0,10.0,10.0,11.0,21.0,8.0,8.0,5.0,5.0,3.0,9.0,8.0,7.0,26.0,26.0,26.0,25.0,26.0,27.0
Total_acc5,27.0,26.0,25.0,15.0,12.0,12.0,12.0,24.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,12.0,28.0,28.0,28.0,27.0,27.0,28.0
rate_acc1,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.03571428571428571,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.21428571428571427,0.10714285714285714,0.2857142857142857,0.17857142857142858,0.17857142857142858,0.03571428571428571,0.17857142857142858,0.21428571428571427
rate_acc2,0.8571428571428571,0.75,0.14285714285714285,0.2857142857142857,0.25,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.21428571428571427,0.21428571428571427,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.21428571428571427,0.21428571428571427,0.10714285714285714,0.8571428571428571,0.75,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.9285714285714286
rate_acc3,0.8928571428571429,0.8214285714285714,0.17857142857142858,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.39285714285714285,0.75,0.2857142857142857,0.2857142857142857,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.32142857142857145,0.2857142857142857,0.25,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8928571428571429,0.9285714285714286,0.9642857142857143
rate_acc5,0.9642857142857143,0.9285714285714286,0.8928571428571429,0.5357142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.35714285714285715,0.42857142857142855,1.0,1.0,1.0,0.9642857142857143,0.9642857142857143,1.0
