,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1,1333,9,423,1711,combine
ATMMut133_T17,2.0,2.0,4.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,4.0,4.0,17.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0
ATMMut11_T21,2.0,2.0,4.0,12.0,25.0,25.0,25.0,2.0,18.0,25.0,25.0,25.0,21.0,30.0,30.0,25.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut160_T24,2.0,2.0,4.0,4.0,24.0,24.0,24.0,2.0,8.0,24.0,24.0,24.0,24.0,30.0,30.0,24.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut42_T2,2.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
ATMMut194_T22,2.0,2.0,4.0,12.0,27.0,27.0,27.0,2.0,21.0,27.0,27.0,27.0,22.0,30.0,30.0,27.0,2.0,2.0,2.0,2.0,3.0,2.0
ATMMut24_T15,4.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,6.0,6.0,6.0,6.0,15.0,6.0,6.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0
ATMMut126_T11,2.0,2.0,4.0,13.0,17.0,17.0,17.0,2.0,17.0,17.0,17.0,17.0,11.0,30.0,30.0,17.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut39_T1,12.0,5.0,1.0,11.0,5.0,5.0,3.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,10.0,29.0,3.0
ATMMut129_T6,2.0,2.0,4.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,6.0,30.0,30.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut166_T17,2.0,2.0,4.0,11.0,25.0,25.0,25.0,2.0,18.0,25.0,25.0,25.0,17.0,30.0,30.0,25.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut54_T22,2.0,2.0,4.0,12.0,27.0,27.0,27.0,2.0,21.0,27.0,27.0,27.0,22.0,30.0,30.0,27.0,2.0,2.0,2.0,2.0,3.0,2.0
ATMMut169_T11,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,11.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0
ATMMut55_T12,2.0,2.0,4.0,12.0,20.0,20.0,20.0,2.0,19.0,20.0,20.0,20.0,12.0,30.0,30.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut197_T19,2.0,2.0,4.0,12.0,26.0,26.0,26.0,2.0,20.0,26.0,26.0,26.0,19.0,30.0,30.0,26.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut38_T24,2.0,2.0,4.0,4.0,24.0,24.0,24.0,2.0,8.0,24.0,24.0,24.0,24.0,30.0,30.0,24.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut85_T1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0
ATMMut109_T30,2.0,2.0,4.0,8.0,30.0,30.0,30.0,2.0,12.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.0,3.0,2.0,2.0,2.0,2.0
