,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1,29,2997,1797,1665,combine
median_Examscore(%),56.25,51.56,54.685,59.38,65.62,65.62,65.62,56.25,65.62,65.62,65.62,65.62,59.38,65.62,68.75,65.62,51.56,56.25,46.88,53.12,51.56,46.88
mean_Examscore(%),50.2403846153846,46.51384615384614,50.48115384615384,54.086923076923085,61.177692307692304,61.177692307692304,61.177692307692304,50.2403846153846,60.335769230769216,61.177692307692304,61.177692307692304,61.177692307692304,56.73076923076923,60.335769230769216,63.34076923076922,61.177692307692304,47.716153846153844,51.44153846153844,43.14884615384615,49.519615384615385,46.27307692307692,42.75
sd_Examscore(%),27.443668046493965,24.002265239251578,24.823134262525844,26.952995346600094,28.941897837936242,28.941897837936242,28.941897837936242,27.443668046493965,27.988703317313856,28.941897837936242,28.941897837936242,28.941897837936242,30.9322384476878,27.988703317313856,28.071390549536652,28.941897837936242,26.09630810316633,26.566169417860408,24.813626309255657,23.330640022214432,23.65240651929199,25.240097398121637
Total_acc1,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
Total_acc2,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0
Total_acc3,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,5.0
Total_acc5,6.0,4.0,3.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,6.0,3.0,4.0,6.0
rate_acc1,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693
rate_acc2,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.11538461538461539,0.15384615384615385
rate_acc3,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.19230769230769232,0.11538461538461539,0.11538461538461539,0.19230769230769232
rate_acc5,0.23076923076923078,0.15384615384615385,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.19230769230769232,0.23076923076923078,0.11538461538461539,0.15384615384615385,0.23076923076923078
