,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1,29,2997,1797,1665,combine
InFlightMut139_T29,25.0,21.0,23.0,26.0,29.0,29.0,29.0,25.0,28.0,29.0,29.0,29.0,29.0,28.0,29.0,29.0,21.0,25.0,22.0,22.0,21.0,22.0
InFlightMut164_T2,1.0,1.0,2.0,6.0,8.0,8.0,8.0,1.0,8.0,8.0,8.0,8.0,2.0,8.0,9.0,8.0,1.0,5.0,2.0,2.0,1.0,2.0
InFlightMut25_T17,16.0,12.0,13.0,17.0,19.0,19.0,19.0,16.0,19.0,19.0,19.0,19.0,17.0,19.0,20.0,19.0,12.0,16.0,13.0,13.0,12.0,13.0
InFlightMut36_T3,2.0,2.0,3.0,7.0,9.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,3.0,9.0,10.0,9.0,2.0,6.0,3.0,3.0,2.0,3.0
InFlightMut159_T19,18.0,14.0,15.0,19.0,21.0,21.0,21.0,18.0,21.0,21.0,21.0,21.0,19.0,21.0,22.0,21.0,14.0,18.0,15.0,15.0,14.0,15.0
InFlightMut35_T26,23.0,19.0,20.0,24.0,26.0,26.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,26.0,19.0,23.0,20.0,20.0,19.0,20.0
InFlightMut45_T19,18.0,14.0,15.0,19.0,21.0,21.0,21.0,18.0,21.0,21.0,21.0,21.0,19.0,21.0,22.0,21.0,14.0,18.0,15.0,15.0,14.0,15.0
InFlightMut117_T13,12.0,9.0,10.0,14.0,16.0,16.0,16.0,12.0,16.0,16.0,16.0,16.0,13.0,16.0,17.0,16.0,9.0,13.0,10.0,10.0,9.0,10.0
InFlightMut114_T13,12.0,9.0,10.0,14.0,16.0,16.0,16.0,12.0,16.0,16.0,16.0,16.0,13.0,16.0,17.0,16.0,9.0,13.0,10.0,10.0,9.0,10.0
InFlightMut129_T30,26.0,22.0,24.0,27.0,30.0,30.0,30.0,26.0,29.0,30.0,30.0,30.0,30.0,29.0,30.0,30.0,22.0,26.0,23.0,23.0,22.0,23.0
InFlightMut195_T30,26.0,22.0,24.0,27.0,30.0,30.0,30.0,26.0,29.0,30.0,30.0,30.0,30.0,29.0,30.0,30.0,22.0,26.0,23.0,23.0,22.0,23.0
InFlightMut125_T6,5.0,26.0,27.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,31.0,1.0,1.0,26.0,25.0,1.0
InFlightMut21_T12,11.0,8.0,9.0,13.0,15.0,15.0,15.0,11.0,15.0,15.0,15.0,15.0,12.0,15.0,16.0,15.0,8.0,12.0,9.0,9.0,8.0,9.0
InFlightMut121_T31,27.0,23.0,25.0,28.0,31.0,31.0,31.0,27.0,30.0,31.0,31.0,31.0,31.0,30.0,31.0,31.0,23.0,27.0,24.0,24.0,23.0,24.0
InFlightMut118_T12,11.0,8.0,9.0,13.0,15.0,15.0,15.0,11.0,15.0,15.0,15.0,15.0,12.0,15.0,16.0,15.0,8.0,12.0,9.0,9.0,8.0,9.0
InFlightMut156_T21,20.0,16.0,17.0,21.0,23.0,23.0,23.0,20.0,23.0,23.0,23.0,23.0,21.0,23.0,24.0,23.0,16.0,20.0,17.0,17.0,16.0,17.0
InFlightMut41_T28,24.0,20.0,22.0,25.0,28.0,28.0,28.0,24.0,27.0,28.0,28.0,28.0,28.0,27.0,28.0,28.0,20.0,24.0,21.0,21.0,20.0,21.0
InFlightMut102_T30,26.0,22.0,24.0,27.0,30.0,30.0,30.0,26.0,29.0,30.0,30.0,30.0,30.0,29.0,30.0,30.0,22.0,26.0,23.0,23.0,22.0,23.0
InFlightMut34_T16,15.0,11.0,12.0,16.0,18.0,18.0,18.0,15.0,18.0,18.0,18.0,18.0,16.0,18.0,19.0,18.0,11.0,15.0,12.0,12.0,11.0,12.0
InFlightMut42_T24,22.0,18.0,19.0,23.0,25.0,25.0,25.0,22.0,25.0,25.0,25.0,25.0,24.0,25.0,26.0,25.0,18.0,22.0,19.0,19.0,18.0,19.0
InFlightMut3_T24,22.0,18.0,19.0,23.0,25.0,25.0,25.0,22.0,25.0,25.0,25.0,25.0,24.0,25.0,26.0,25.0,18.0,22.0,19.0,19.0,18.0,19.0
InFlightMut47_T6,5.0,26.0,27.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,31.0,1.0,1.0,26.0,25.0,1.0
InFlightMut150_T31,27.0,23.0,25.0,28.0,31.0,31.0,31.0,27.0,30.0,31.0,31.0,31.0,31.0,30.0,31.0,31.0,23.0,27.0,24.0,24.0,23.0,24.0
InFlightMut138_T2,1.0,1.0,2.0,6.0,8.0,8.0,8.0,1.0,8.0,8.0,8.0,8.0,2.0,8.0,9.0,8.0,1.0,5.0,2.0,2.0,1.0,2.0
InFlightMut134_T6,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,6.0,5.0,5.0,5.0,8.0,5.0,5.0
InFlightMut154_T22,18.0,17.0,18.0,19.0,25.0,25.0,25.0,18.0,25.0,25.0,25.0,25.0,22.0,25.0,25.0,25.0,17.0,20.0,17.0,17.0,17.0,
