,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,658,1162,2205,45,28,combine
median_Examscore(%),28.4,28.4,28.4,28.4,32.1,32.1,32.1,28.4,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,29.63,29.63,29.63,29.63,29.63,32.1
mean_Examscore(%),45.32666666666666,45.32666666666666,37.330952380952375,37.330952380952375,40.504285714285714,40.621904761904766,40.680952380952384,45.44380952380952,40.504285714285714,40.504285714285714,40.504285714285714,40.504285714285714,39.9757142857143,40.504285714285714,40.504285714285714,40.504285714285714,38.32952380952381,38.21142857142858,38.21142857142858,38.44761904761905,38.21142857142858,39.80000000000001
sd_Examscore(%),30.654048563498645,30.654048563498645,28.308714542480008,28.308714542480008,29.040953078614443,28.878482061744105,28.800375501850997,30.860120135247445,29.040953078614443,29.040953078614443,29.040953078614443,29.040953078614443,29.557702138601467,29.040953078614443,29.040953078614443,29.040953078614443,28.562786011905505,28.720463486112873,28.720463486112873,28.468342752039835,28.720463486112873,29.740607256745786
Total_acc1,1.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0
Total_acc2,1.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Total_acc3,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Total_acc5,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
rate_acc1,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.14285714285714285
rate_acc2,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
rate_acc3,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
rate_acc5,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
