,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1640,1,2160,41,1791,2,combine
median_Examscore(%),58.82,58.82,11.76,11.76,11.76,5.88,5.88,58.82,11.76,11.76,23.53,23.53,23.53,5.88,11.76,11.76,5.88,11.76,5.88,5.88,5.88,5.88,5.88
mean_Examscore(%),41.174583333333345,41.174583333333345,32.83958333333333,12.986666666666663,14.457499999999996,17.891249999999996,22.30125,42.88958333333334,14.457499999999996,14.457499999999996,27.206666666666663,27.206666666666663,32.59916666666666,13.477499999999997,14.457499999999996,14.457499999999996,9.55583333333333,11.025833333333331,9.55583333333333,9.55583333333333,9.55583333333333,10.04583333333333,9.55583333333333
sd_Examscore(%),31.22329160977867,31.22329160977867,33.317336455882746,12.626131173316596,17.518277722077194,18.3160510060581,20.52307530826449,33.296762276229046,17.518277722077194,17.518277722077194,14.071749888607888,14.071749888607888,17.256755933903648,17.81622324931873,17.518277722077194,17.518277722077194,6.67591577607712,6.328948615663596,6.67591577607712,6.67591577607712,6.67591577607712,8.223553086246776,6.67591577607712
Total_acc1,9.0,9.0,6.0,9.0,9.0,13.0,13.0,9.0,9.0,9.0,0.0,0.0,0.0,13.0,9.0,9.0,15.0,9.0,15.0,15.0,15.0,15.0,15.0
Total_acc2,9.0,9.0,15.0,22.0,22.0,13.0,13.0,9.0,22.0,22.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Total_acc3,9.0,9.0,15.0,22.0,22.0,13.0,13.0,9.0,22.0,22.0,7.0,7.0,7.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Total_acc5,11.0,11.0,15.0,22.0,22.0,22.0,13.0,11.0,22.0,22.0,22.0,22.0,16.0,22.0,22.0,22.0,24.0,24.0,24.0,24.0,24.0,22.0,24.0
rate_acc1,0.375,0.375,0.25,0.375,0.375,0.5416666666666666,0.5416666666666666,0.375,0.375,0.375,0.0,0.0,0.0,0.5416666666666666,0.375,0.375,0.625,0.375,0.625,0.625,0.625,0.625,0.625
rate_acc2,0.375,0.375,0.625,0.9166666666666666,0.9166666666666666,0.5416666666666666,0.5416666666666666,0.375,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
rate_acc3,0.375,0.375,0.625,0.9166666666666666,0.9166666666666666,0.5416666666666666,0.5416666666666666,0.375,0.9166666666666666,0.9166666666666666,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
rate_acc5,0.4583333333333333,0.4583333333333333,0.625,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.5416666666666666,0.4583333333333333,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0
