,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1640,1,2160,41,1791,2,combine
NetworkMut42_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut90_T9,10.0,10.0,1.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,5.0,5.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
NetworkMut20_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut121_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut138_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut92_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut93_T11,4.0,4.0,6.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0
NetworkMut165_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut109_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut31_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut187_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut98_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut153_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut86_T11,4.0,4.0,6.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0
NetworkMut83_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut1_T9,10.0,10.0,1.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,5.0,5.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
NetworkMut49_T9,10.0,10.0,1.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,5.0,5.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
NetworkMut64_T9,10.0,10.0,1.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,5.0,5.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
NetworkMut87_T9,10.0,10.0,1.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,5.0,5.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
NetworkMut34_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut4_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut35_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut176_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut161_T9,10.0,10.0,1.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,5.0,5.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
