,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1,1295,83,3,96,1261,1229,23,combine
median_Examscore(%),45.650000000000006,41.305,36.955,43.48,52.17,52.17,52.17,45.650000000000006,52.17,52.17,52.17,52.17,36.955,52.17,52.17,52.17,39.129999999999995,34.78,45.655,47.825,45.655,45.655,39.13,36.955,36.955
mean_Examscore(%),49.45583333333334,46.376666666666665,46.92000000000001,49.45708333333332,48.00666666666666,48.00666666666666,47.64458333333334,52.35458333333333,47.64458333333334,47.64458333333334,47.64458333333334,47.64458333333334,44.38374999999999,47.64458333333334,47.64458333333334,47.64458333333334,39.67458333333334,44.020833333333336,44.92875,45.47083333333333,45.10875000000001,44.9275,39.85541666666666,37.862500000000004,43.65833333333333
sd_Examscore(%),29.398804163296916,28.07986260753373,28.26493033701873,30.03542306925733,28.4511958435412,28.4511958435412,28.738456734331,32.013267898763026,28.738456734331,28.738456734331,28.738456734330995,28.738456734330995,28.60931982725666,28.738456734331,28.738456734331,28.738456734330995,26.564898543029468,28.706374525631013,27.24808590206085,28.580744037028584,27.371958566402764,27.932621454212775,28.05044694353165,26.72345009130761,29.445242572356698
Total_acc1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
Total_acc2,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0
Total_acc3,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,4.0,5.0,4.0,4.0,6.0,6.0,6.0
Total_acc5,5.0,5.0,6.0,6.0,7.0,7.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,6.0,8.0,8.0,9.0,9.0,8.0
rate_acc1,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
rate_acc2,0.125,0.125,0.08333333333333333,0.08333333333333333,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.20833333333333334,0.125,0.125,0.125,0.20833333333333334,0.125
rate_acc3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.125,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.20833333333333334,0.16666666666666666,0.20833333333333334,0.16666666666666666,0.16666666666666666,0.25,0.25,0.25
rate_acc5,0.20833333333333334,0.20833333333333334,0.25,0.25,0.2916666666666667,0.2916666666666667,0.3333333333333333,0.20833333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2916666666666667,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.375,0.375,0.3333333333333333
