,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,2,2332,465,1,43,1398,2990,425,combine
median_Examscore(%),24.56,25.44,24.56,33.775000000000006,25.44,25.44,25.44,52.195,25.44,25.44,25.44,25.44,20.615000000000002,26.32,25.44,26.32,4.385,6.14,6.574999999999999,14.04,13.16,18.42,12.28,3.9499999999999997,23.685000000000002
mean_Examscore(%),24.259230769230765,28.67807692307692,27.09230769230768,40.61961538461538,28.67807692307692,28.67807692307692,28.67807692307692,51.88961538461539,34.614999999999995,28.67807692307692,28.813076923076917,28.813076923076917,27.700384615384607,29.419999999999995,29.21730769230769,29.218076923076914,19.568846153846152,22.335384615384612,20.479230769230767,21.96307692307692,18.86,23.515384615384615,18.522692307692303,21.659615384615385,27.59807692307692
sd_Examscore(%),23.852439694601795,20.885179246390155,21.82973885463448,37.57424889264127,20.85411096531919,20.85411096531919,20.85411096531919,33.099499993899514,28.99111136193299,20.85411096531919,20.770959297871777,20.770959297871777,20.93832896499035,21.707016561471548,21.736149715658904,20.383611067567156,25.964961825802572,29.773374310718527,25.71770672872322,22.59240416940716,20.617070208931235,24.342191722319377,20.64113670468607,25.885691874975137,24.980284549096844
Total_acc1,8.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,3.0,8.0,2.0,7.0,4.0,8.0
Total_acc2,9.0,3.0,4.0,9.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,8.0,9.0
Total_acc3,9.0,3.0,5.0,9.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,13.0,8.0,9.0,9.0,10.0,7.0,9.0,12.0,9.0
Total_acc5,11.0,4.0,7.0,9.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,13.0,12.0,9.0,10.0,10.0,9.0,11.0,15.0,9.0
rate_acc1,0.3076923076923077,0.07692307692307693,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.11538461538461539,0.3076923076923077,0.07692307692307693,0.2692307692307692,0.15384615384615385,0.3076923076923077
rate_acc2,0.34615384615384615,0.11538461538461539,0.15384615384615385,0.34615384615384615,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.34615384615384615,0.3076923076923077,0.34615384615384615,0.3076923076923077,0.3076923076923077,0.2692307692307692,0.34615384615384615,0.3076923076923077,0.34615384615384615
rate_acc3,0.34615384615384615,0.11538461538461539,0.19230769230769232,0.34615384615384615,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.5,0.3076923076923077,0.34615384615384615,0.34615384615384615,0.38461538461538464,0.2692307692307692,0.34615384615384615,0.46153846153846156,0.34615384615384615
rate_acc5,0.4230769230769231,0.15384615384615385,0.2692307692307692,0.34615384615384615,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.5,0.46153846153846156,0.34615384615384615,0.38461538461538464,0.38461538461538464,0.34615384615384615,0.4230769230769231,0.5769230769230769,0.34615384615384615
