,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,24,5,1247,1526,1011,8,9,combine
class2Mut50_T8,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,9.0,4.0,16.0,3.0,3.0,1.0,2.0,3.0,2.0,4.0,5.0,2.0
class2Mut160_T1,7.0,7.0,7.0,20.0,5.0,5.0,5.0,18.0,20.0,5.0,5.0,5.0,2.0,17.0,2.0,5.0,19.0,20.0,20.0,20.0,20.0,19.0,20.0,8.0
class2Mut37_T12,14.0,14.0,14.0,11.0,13.0,13.0,13.0,8.0,11.0,13.0,13.0,13.0,13.0,5.0,13.0,13.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,14.0
class2Mut170_T14,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,14.0,15.0,15.0,15.0,15.0,6.0,10.0,15.0,13.0,12.0,12.0,14.0,13.0,12.0,13.0,15.0
class2Mut113_T3,8.0,8.0,8.0,6.0,6.0,6.0,6.0,4.0,8.0,6.0,6.0,6.0,4.0,14.0,18.0,6.0,6.0,4.0,4.0,5.0,4.0,6.0,5.0,1.0
class2Mut84_T1,7.0,7.0,7.0,20.0,5.0,5.0,5.0,18.0,20.0,5.0,5.0,5.0,2.0,17.0,2.0,5.0,19.0,20.0,20.0,20.0,20.0,19.0,20.0,8.0
class2Mut66_T10,13.0,13.0,13.0,15.0,12.0,12.0,12.0,12.0,15.0,12.0,12.0,12.0,11.0,7.0,9.0,12.0,14.0,13.0,13.0,15.0,14.0,13.0,14.0,13.0
class2Mut7_T1,8.0,8.0,8.0,20.0,6.0,6.0,6.0,18.0,20.0,6.0,6.0,6.0,2.0,18.0,2.0,6.0,19.0,20.0,18.0,20.0,20.0,20.0,20.0,9.0
class2Mut158_T13,2.0,2.0,2.0,4.0,14.0,14.0,14.0,2.0,6.0,14.0,14.0,14.0,14.0,19.0,21.0,14.0,4.0,2.0,2.0,8.0,2.0,4.0,3.0,4.0
class2Mut141_T2,4.0,4.0,4.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,1.0,1.0,3.0,20.0,14.0,2.0,2.0,8.0,6.0,1.0,5.0,2.0,1.0,2.0
class2Mut179_T11,3.0,5.0,3.0,3.0,2.0,2.0,5.0,3.0,9.0,9.0,9.0,9.0,12.0,13.0,14.0,6.0,5.0,1.0,6.0,2.0,2.0,3.0,4.0,2.0
class2Mut65_T7,4.0,5.0,4.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,16.0,4.0,7.0,5.0,4.0,7.0,7.0,4.0,6.0,1.0
class2Mut163_T2,4.0,4.0,4.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,1.0,1.0,3.0,20.0,14.0,2.0,2.0,8.0,6.0,1.0,5.0,2.0,1.0,2.0
class2Mut13_T5,9.0,9.0,9.0,5.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,6.0,16.0,19.0,7.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0
class2Mut6_T5,9.0,9.0,9.0,5.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,6.0,16.0,19.0,7.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0
class2Mut70_T2,8.0,5.0,8.0,4.0,4.0,4.0,3.0,21.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0
class2Mut194_T9,13.0,13.0,13.0,17.0,12.0,12.0,12.0,13.0,19.0,12.0,12.0,12.0,10.0,11.0,8.0,12.0,16.0,16.0,13.0,19.0,17.0,16.0,18.0,6.0
class2Mut192_T10,13.0,13.0,13.0,15.0,12.0,12.0,12.0,12.0,15.0,12.0,12.0,12.0,11.0,7.0,9.0,12.0,14.0,13.0,13.0,15.0,14.0,13.0,14.0,13.0
class2Mut29_T8,1.0,1.0,1.0,3.0,10.0,10.0,10.0,1.0,5.0,10.0,10.0,10.0,9.0,18.0,20.0,10.0,3.0,1.0,1.0,7.0,1.0,3.0,2.0,3.0
class2Mut77_T14,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,14.0,15.0,15.0,15.0,15.0,6.0,10.0,15.0,13.0,12.0,12.0,14.0,13.0,12.0,13.0,15.0
class2Mut4_T15,16.0,16.0,16.0,9.0,16.0,16.0,16.0,7.0,10.0,16.0,16.0,16.0,16.0,10.0,16.0,16.0,8.0,7.0,8.0,10.0,9.0,8.0,7.0,21.0
class2Mut148_T13,2.0,2.0,2.0,4.0,14.0,14.0,14.0,2.0,6.0,14.0,14.0,14.0,14.0,19.0,21.0,14.0,4.0,2.0,2.0,8.0,2.0,4.0,3.0,4.0
class2Mut48_T0,6.0,5.0,6.0,10.0,5.0,5.0,4.0,20.0,3.0,3.0,3.0,3.0,1.0,3.0,17.0,4.0,2.0,13.0,1.0,4.0,9.0,1.0,8.0,1.0
class2Mut85_T2,4.0,4.0,4.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,1.0,1.0,3.0,20.0,14.0,2.0,2.0,8.0,6.0,1.0,5.0,2.0,1.0,2.0
class2Mut149_T1,7.0,7.0,7.0,20.0,5.0,5.0,5.0,18.0,20.0,5.0,5.0,5.0,2.0,17.0,2.0,5.0,19.0,20.0,20.0,20.0,20.0,19.0,20.0,8.0
class2Mut106_T15,18.0,18.0,18.0,10.0,18.0,18.0,18.0,5.0,15.0,18.0,18.0,18.0,16.0,14.0,16.0,18.0,7.0,5.0,5.0,5.0,4.0,8.0,8.0,1.0
class2Mut61_T0,5.0,5.0,5.0,7.0,3.0,3.0,3.0,20.0,3.0,3.0,3.0,3.0,1.0,9.0,8.0,3.0,1.0,14.0,16.0,3.0,8.0,1.0,8.0,7.0
class2Mut31_T10,13.0,13.0,13.0,15.0,12.0,12.0,12.0,12.0,15.0,12.0,12.0,12.0,11.0,7.0,9.0,12.0,14.0,13.0,13.0,15.0,14.0,13.0,14.0,13.0
class2Mut38_T2,4.0,4.0,4.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,1.0,1.0,3.0,20.0,14.0,2.0,2.0,8.0,6.0,1.0,5.0,2.0,1.0,2.0
