,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,89,19,3,479,2498,1,1718,combine
median_Examscore(%),66.67,66.67,16.67,11.11,5.56,5.56,5.56,11.11,11.11,33.33,5.56,5.56,11.11,5.56,72.22,5.56,11.11,5.56,5.56,11.11,5.56,11.11,5.56,5.56
mean_Examscore(%),47.64884615384616,47.64884615384616,22.652307692307698,21.581153846153846,12.82230769230769,21.368461538461535,21.368461538461535,21.581153846153846,26.711153846153852,25.854230769230767,21.368461538461535,21.368461538461535,22.00807692307692,21.368461538461535,60.46923076923077,21.368461538461535,10.90038461538462,7.9080769230769254,12.181153846153846,10.90038461538462,12.181153846153846,10.90038461538462,12.394615384615387,12.395384615384618
sd_Examscore(%),29.53035852500583,29.53035852500583,25.18434232735765,18.543942261972898,8.126872120412532,18.831690671271698,18.831690671271698,18.543942261972898,31.74042133645023,18.181482485886992,18.831690671271698,18.831690671271698,18.218826969754286,18.831690671271698,41.10631989590671,18.831690671271698,5.086535544568017,2.7962646787895733,8.164623360289475,5.086535544568017,8.164623360289475,5.086535544568017,8.056425624689517,16.201363703286024
Total_acc1,0.0,0.0,11.0,11.0,14.0,14.0,14.0,11.0,9.0,11.0,14.0,14.0,9.0,14.0,0.0,14.0,11.0,15.0,15.0,11.0,15.0,11.0,14.0,14.0
Total_acc2,10.0,10.0,11.0,16.0,14.0,14.0,14.0,16.0,19.0,11.0,14.0,14.0,16.0,14.0,10.0,14.0,16.0,26.0,16.0,16.0,16.0,16.0,16.0,24.0
Total_acc3,10.0,10.0,21.0,16.0,16.0,16.0,16.0,16.0,19.0,11.0,16.0,16.0,16.0,16.0,10.0,16.0,26.0,26.0,16.0,26.0,16.0,26.0,16.0,24.0
Total_acc5,10.0,10.0,21.0,16.0,26.0,16.0,16.0,16.0,19.0,11.0,16.0,16.0,16.0,16.0,10.0,16.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0
rate_acc1,0.0,0.0,0.4230769230769231,0.4230769230769231,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.4230769230769231,0.34615384615384615,0.4230769230769231,0.5384615384615384,0.5384615384615384,0.34615384615384615,0.5384615384615384,0.0,0.5384615384615384,0.4230769230769231,0.5769230769230769,0.5769230769230769,0.4230769230769231,0.5769230769230769,0.4230769230769231,0.5384615384615384,0.5384615384615384
rate_acc2,0.38461538461538464,0.38461538461538464,0.4230769230769231,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.7307692307692307,0.4230769230769231,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.38461538461538464,0.5384615384615384,0.6153846153846154,1.0,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.9230769230769231
rate_acc3,0.38461538461538464,0.38461538461538464,0.8076923076923077,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.7307692307692307,0.4230769230769231,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,1.0,1.0,0.6153846153846154,1.0,0.6153846153846154,1.0,0.6153846153846154,0.9230769230769231
rate_acc5,0.38461538461538464,0.38461538461538464,0.8076923076923077,0.6153846153846154,1.0,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.7307692307692307,0.4230769230769231,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231
