,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,89,19,3,479,2498,1,1718,combine
INRESMut63_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0
INRESMut169_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,12.0,6.0,1.0,1.0,2.0,1.0,13.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
INRESMut155_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,12.0,6.0,1.0,1.0,2.0,1.0,13.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
INRESMut98_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0
INRESMut66_T2,13.0,13.0,1.0,1.0,3.0,3.0,3.0,1.0,18.0,1.0,3.0,3.0,2.0,3.0,18.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0
INRESMut175_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut88_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0
INRESMut64_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut164_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut142_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
