,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,658,1162,2205,45,28,combine
median_Examscore(%),88.89,88.89,28.4,32.1,28.4,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,88.89,32.1,29.63,29.63,29.63,29.63,29.63,33.33
mean_Examscore(%),60.61285714285715,60.4952380952381,38.79904761904762,41.4452380952381,38.91666666666667,41.4452380952381,41.56285714285715,41.4452380952381,41.4452380952381,41.4452380952381,41.4452380952381,41.4452380952381,41.4452380952381,41.4452380952381,60.847142857142856,41.4452380952381,39.85857142857144,39.62238095238096,39.62238095238096,39.858095238095245,39.62238095238096,46.209047619047624
sd_Examscore(%),35.638371615838054,35.51430016472908,36.26877071321303,37.444083059817025,36.144635747691986,37.444083059817025,37.31510031379484,37.444083059817025,37.444083059817025,37.444083059817025,37.444083059817025,37.444083059817025,37.444083059817025,37.444083059817025,35.88727562003797,37.444083059817025,36.447345758740006,36.704259821546856,36.704259821546856,36.466752613723045,36.704259821546856,37.77065645507924
Total_acc1,1.0,1.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,2.0,6.0,6.0,4.0,6.0,0.0
Total_acc2,1.0,1.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0
Total_acc3,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0
Total_acc5,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0
rate_acc1,0.047619047619047616,0.047619047619047616,0.2857142857142857,0.2857142857142857,0.23809523809523808,0.2857142857142857,0.23809523809523808,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.047619047619047616,0.2857142857142857,0.09523809523809523,0.2857142857142857,0.2857142857142857,0.19047619047619047,0.2857142857142857,0.0
rate_acc2,0.047619047619047616,0.047619047619047616,0.2857142857142857,0.2857142857142857,0.23809523809523808,0.2857142857142857,0.23809523809523808,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.047619047619047616,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.23809523809523808,0.2857142857142857,0.23809523809523808
rate_acc3,0.047619047619047616,0.047619047619047616,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.047619047619047616,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.23809523809523808
rate_acc5,0.047619047619047616,0.047619047619047616,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.047619047619047616,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.23809523809523808
