,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1640,1,2160,41,1791,2,combine
median_Examscore(%),41.175,41.175,11.76,23.53,11.76,11.76,14.705,23.53,11.76,35.29,8.82,11.76,11.76,11.76,41.175,11.76,5.88,11.76,5.88,5.88,5.88,5.88,11.76
mean_Examscore(%),38.23333333333334,38.23333333333334,27.692499999999995,29.902499999999993,14.702499999999995,16.908749999999994,20.58749999999999,29.902499999999993,11.761249999999997,40.68541666666665,16.173749999999995,16.908749999999994,16.908749999999994,16.908749999999994,39.45833333333334,16.908749999999994,10.046249999999997,11.761249999999997,10.046249999999997,10.046249999999997,10.046249999999997,10.781249999999998,11.761249999999997
sd_Examscore(%),29.742442908156136,29.742442908156136,30.018454215336618,16.264409597806416,15.022805055618957,20.91166229903055,21.03248155674415,16.264409597806416,7.359516354914968,14.296298997860664,21.192955107668496,20.91166229903055,20.91166229903055,20.91166229903055,31.43749487567307,20.91166229903055,7.849872229644198,7.359516354914968,7.849872229644198,7.849872229644198,7.849872229644198,9.760573447382033,7.359516354914968
Total_acc1,9.0,9.0,7.0,0.0,9.0,9.0,12.0,0.0,9.0,0.0,12.0,9.0,9.0,9.0,9.0,9.0,16.0,9.0,16.0,16.0,16.0,16.0,9.0
Total_acc2,9.0,9.0,16.0,0.0,21.0,21.0,12.0,0.0,21.0,0.0,21.0,21.0,21.0,21.0,9.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Total_acc3,9.0,9.0,16.0,5.0,21.0,21.0,12.0,5.0,21.0,0.0,21.0,21.0,21.0,21.0,9.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Total_acc5,12.0,12.0,16.0,21.0,21.0,21.0,21.0,21.0,24.0,5.0,21.0,21.0,21.0,21.0,12.0,21.0,24.0,24.0,24.0,24.0,24.0,21.0,24.0
rate_acc1,0.375,0.375,0.2916666666666667,0.0,0.375,0.375,0.5,0.0,0.375,0.0,0.5,0.375,0.375,0.375,0.375,0.375,0.6666666666666666,0.375,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.375
rate_acc2,0.375,0.375,0.6666666666666666,0.0,0.875,0.875,0.5,0.0,0.875,0.0,0.875,0.875,0.875,0.875,0.375,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
rate_acc3,0.375,0.375,0.6666666666666666,0.20833333333333334,0.875,0.875,0.5,0.20833333333333334,0.875,0.0,0.875,0.875,0.875,0.875,0.375,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
rate_acc5,0.5,0.5,0.6666666666666666,0.875,0.875,0.875,0.875,0.875,1.0,0.20833333333333334,0.875,0.875,0.875,0.875,0.5,0.875,1.0,1.0,1.0,1.0,1.0,0.875,1.0
