,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1640,1,2160,41,1791,2,combine
NetworkMut52_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut156_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut120_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut85_T11,4.0,4.0,6.0,12.0,9.0,12.0,12.0,12.0,5.0,12.0,12.0,12.0,12.0,12.0,4.0,12.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0
NetworkMut141_T11,4.0,4.0,6.0,12.0,9.0,12.0,12.0,12.0,5.0,12.0,12.0,12.0,12.0,12.0,4.0,12.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0
NetworkMut176_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut165_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut21_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut88_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
NetworkMut136_T11,4.0,4.0,6.0,12.0,9.0,12.0,12.0,12.0,5.0,12.0,12.0,12.0,12.0,12.0,4.0,12.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0
NetworkMut64_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
NetworkMut200_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut110_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
NetworkMut160_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut113_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut157_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut129_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut53_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut197_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
NetworkMut121_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut56_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
NetworkMut5_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
NetworkMut37_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut87_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
