,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,333,1890,2,1,4,8,1627,6,combine
median_Examscore(%),62.95,62.95,62.95,53.57,62.95,62.95,62.95,58.04,62.05,62.95,62.95,62.95,62.95,62.95,62.95,62.95,55.36,48.66,56.25,56.25,54.46,56.25,56.7,55.36,66.07
mean_Examscore(%),51.94679999999998,51.4832,51.803999999999995,51.963199999999986,51.5008,51.5008,51.5008,58.69719999999998,50.92760000000001,51.5008,51.554399999999994,51.554399999999994,53.1432,51.51839999999999,51.5008,51.7512,50.162000000000006,47.946,51.017999999999994,50.7504,48.2312,50.75,51.607600000000005,53.26960000000001,57.91079999999999
sd_Examscore(%),33.514173459398734,34.223258748011325,33.788513334169245,31.37375850398971,34.20585950291753,34.20585950291753,34.20585950291753,28.002297750958455,33.82760550201566,34.20585950291753,34.152186616184125,34.152186616184125,32.1283738461815,34.20776528314392,34.20585950291753,33.871120973478284,31.79770838178961,31.185226336627196,31.668481439227026,32.05388711217409,31.48980844654346,31.833751873339295,31.492978354970916,31.060899251846095,32.84140449696592
Total_acc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total_acc2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total_acc3,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0
Total_acc5,0.0,3.0,2.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0
rate_acc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rate_acc2,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rate_acc3,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.08,0.08,0.0,0.0,0.04
rate_acc5,0.0,0.12,0.08,0.08,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.04,0.12,0.12,0.08,0.08,0.12,0.0,0.08,0.08,0.08,0.0,0.04,0.04
