,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,55,2,14,45,28,combine
median_Examscore(%),35.09,35.09,35.09,33.33,35.09,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,35.09,33.33,33.33,33.33,33.33,33.33,33.33,33.33
mean_Examscore(%),56.219545454545454,56.219545454545454,56.219545454545454,23.36409090909091,56.219545454545454,23.36409090909091,23.36409090909091,23.36409090909091,23.36409090909091,23.36409090909091,23.36409090909091,23.36409090909091,23.36409090909091,23.36409090909091,56.219545454545454,23.36409090909091,23.36409090909091,23.36409090909091,23.36409090909091,23.36409090909091,23.36409090909091,23.36409090909091
sd_Examscore(%),33.26506940682212,33.26506940682212,33.26506940682212,16.183404391710283,33.26506940682212,16.183404391710283,16.183404391710283,16.183404391710283,16.183404391710283,16.183404391710283,16.183404391710283,16.183404391710283,16.183404391710283,16.183404391710283,33.26506940682212,16.183404391710283,16.183404391710283,16.183404391710283,16.183404391710283,16.183404391710283,16.183404391710283,16.183404391710283
Total_acc1,0.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Total_acc2,0.0,0.0,0.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Total_acc3,0.0,0.0,0.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Total_acc5,0.0,0.0,0.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
rate_acc1,0.0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
rate_acc2,0.0,0.0,0.0,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365
rate_acc3,0.0,0.0,0.0,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365
rate_acc5,0.0,0.0,0.0,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365
