,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,24,5,1247,1526,1011,8,9,combine
median_Examscore(%),40.480000000000004,40.480000000000004,40.480000000000004,52.379999999999995,38.095,52.379999999999995,52.379999999999995,52.379999999999995,33.33,71.43,47.62,69.05000000000001,52.379999999999995,52.379999999999995,33.33,40.480000000000004,33.33,28.57,26.189999999999998,35.715,28.57,38.1,33.33,38.1
mean_Examscore(%),45.7145,44.880750000000006,45.8335,47.38,38.09599999999999,46.42775,46.42775,47.38,39.64224999999999,64.76199999999997,49.64274999999999,62.38074999999999,45.9515,46.666000000000004,39.88049999999999,43.33424999999999,36.19124999999998,33.68974999999999,33.21449999999999,38.92874999999999,33.33399999999998,35.71474999999999,35.71449999999998,39.28674999999998
sd_Examscore(%),27.572741923491893,27.595965924759955,27.29497751771024,25.65417624821267,23.773063813419654,26.054351129061153,26.054351129061153,25.65417624821267,29.774915142293338,29.39034240471973,27.743584519437633,28.342890972055866,26.6237382558864,26.108861330973436,29.525726283431247,25.56045732983384,22.14762662372884,22.449132755506593,22.373366715922042,23.50070650192763,24.520481946156668,23.177844304476725,23.20439590868893,20.95930714106106
Total_acc1,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,7.0,4.0,4.0,1.0
Total_acc2,7.0,7.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,5.0,4.0,5.0,6.0,6.0,7.0,6.0,5.0,8.0,7.0,7.0,11.0,6.0,8.0,4.0
Total_acc3,10.0,8.0,8.0,7.0,11.0,7.0,7.0,7.0,9.0,5.0,6.0,5.0,8.0,7.0,9.0,7.0,9.0,9.0,10.0,8.0,13.0,10.0,10.0,6.0
Total_acc5,12.0,15.0,12.0,9.0,15.0,11.0,11.0,9.0,17.0,6.0,9.0,5.0,10.0,10.0,17.0,12.0,14.0,17.0,20.0,14.0,19.0,15.0,17.0,12.0
rate_acc1,0.1,0.075,0.1,0.1,0.05,0.075,0.075,0.1,0.125,0.1,0.1,0.075,0.125,0.1,0.1,0.1,0.1,0.15,0.1,0.1,0.175,0.1,0.1,0.025
rate_acc2,0.175,0.175,0.175,0.15,0.125,0.15,0.15,0.15,0.2,0.125,0.1,0.125,0.15,0.15,0.175,0.15,0.125,0.2,0.175,0.175,0.275,0.15,0.2,0.1
rate_acc3,0.25,0.2,0.2,0.175,0.275,0.175,0.175,0.175,0.225,0.125,0.15,0.125,0.2,0.175,0.225,0.175,0.225,0.225,0.25,0.2,0.325,0.25,0.25,0.15
rate_acc5,0.3,0.375,0.3,0.225,0.375,0.275,0.275,0.225,0.425,0.15,0.225,0.125,0.25,0.25,0.425,0.3,0.35,0.425,0.5,0.35,0.475,0.375,0.425,0.3
