,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,24,5,1247,1526,1011,8,9,combine
class2Mut5_T13,2.0,2.0,2.0,14.0,4.0,14.0,14.0,14.0,2.0,21.0,19.0,21.0,14.0,14.0,2.0,6.0,4.0,2.0,2.0,8.0,2.0,4.0,3.0,3.0
class2Mut60_T15,18.0,18.0,18.0,18.0,10.0,18.0,18.0,18.0,5.0,17.0,14.0,16.0,18.0,18.0,5.0,15.0,7.0,5.0,5.0,5.0,4.0,8.0,8.0,9.0
class2Mut46_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,14.0,13.0,13.0,15.0,14.0,13.0,14.0,14.0
class2Mut100_T15,18.0,18.0,18.0,18.0,10.0,18.0,18.0,18.0,5.0,17.0,14.0,15.0,18.0,18.0,5.0,15.0,7.0,5.0,5.0,7.0,6.0,8.0,9.0,7.0
class2Mut74_T3,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,18.0,14.0,18.0,6.0,6.0,4.0,8.0,6.0,4.0,4.0,5.0,4.0,6.0,5.0,6.0
class2Mut49_T14,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,11.0,6.0,10.0,15.0,15.0,11.0,14.0,13.0,12.0,12.0,14.0,13.0,12.0,13.0,13.0
class2Mut47_T2,8.0,5.0,8.0,1.0,3.0,5.0,5.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,4.0
class2Mut195_T12,14.0,14.0,14.0,13.0,11.0,13.0,13.0,13.0,8.0,14.0,5.0,13.0,13.0,13.0,8.0,11.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0
class2Mut98_T12,14.0,14.0,14.0,13.0,11.0,13.0,13.0,13.0,8.0,14.0,5.0,13.0,13.0,13.0,8.0,11.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0
class2Mut23_T8,1.0,1.0,1.0,10.0,3.0,10.0,10.0,10.0,1.0,20.0,18.0,20.0,10.0,10.0,1.0,5.0,3.0,1.0,1.0,7.0,1.0,3.0,2.0,2.0
class2Mut21_T8,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,20.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,11.0
class2Mut52_T3,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,18.0,14.0,18.0,6.0,6.0,4.0,8.0,6.0,4.0,4.0,5.0,4.0,6.0,5.0,6.0
class2Mut181_T2,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,21.0,1.0,20.0,14.0,2.0,2.0,21.0,2.0,2.0,8.0,6.0,1.0,5.0,2.0,1.0,9.0
class2Mut86_T12,20.0,20.0,20.0,19.0,12.0,19.0,19.0,19.0,8.0,14.0,16.0,10.0,19.0,19.0,8.0,20.0,10.0,9.0,8.0,14.0,9.0,9.0,11.0,8.0
class2Mut178_T11,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,16.0,1.0,15.0,1.0,1.0,6.0,1.0,9.0,6.0,5.0,2.0,6.0,21.0,15.0,1.0
class2Mut83_T15,16.0,16.0,16.0,16.0,9.0,16.0,16.0,16.0,7.0,15.0,10.0,16.0,16.0,16.0,7.0,10.0,8.0,7.0,8.0,10.0,9.0,8.0,7.0,8.0
class2Mut107_T7,16.0,16.0,16.0,14.0,9.0,14.0,14.0,14.0,5.0,17.0,16.0,17.0,14.0,14.0,5.0,16.0,7.0,5.0,5.0,8.0,8.0,9.0,8.0,4.0
class2Mut87_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,14.0,13.0,13.0,15.0,14.0,13.0,14.0,14.0
class2Mut58_T1,7.0,7.0,7.0,5.0,20.0,5.0,5.0,5.0,18.0,4.0,17.0,2.0,5.0,5.0,18.0,20.0,19.0,20.0,20.0,20.0,20.0,19.0,20.0,19.0
class2Mut189_T3,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,18.0,14.0,18.0,6.0,6.0,4.0,8.0,6.0,4.0,4.0,5.0,4.0,6.0,5.0,6.0
