,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1,1333,9,423,1711,combine
median_Examscore(%),6.67,6.67,13.33,16.665,60.0,60.0,60.0,6.67,33.335,60.0,60.0,60.0,53.33,100.0,100.0,60.0,6.67,6.67,6.67,6.67,6.67,6.67
mean_Examscore(%),6.907499999999997,10.002857142857138,15.234999999999996,23.332857142857147,47.49892857142857,47.26071428571429,47.26071428571429,9.287857142857138,35.71321428571428,47.85607142857143,49.40392857142858,49.40392857142858,50.71464285714285,70.23821428571429,69.88,48.808928571428574,6.191785714285714,7.025714285714282,6.549999999999998,6.907499999999997,6.6685714285714255,6.787499999999997
sd_Examscore(%),1.551829565384034,17.02102313527094,16.91062026590917,16.705658357694887,34.72041488693121,35.008903833439966,35.008903833439966,5.393183185070284,24.55977139077634,34.29811822278795,32.344383145018334,32.344383145018334,25.968507491752515,44.071672858481044,44.63510825447707,33.075876219662156,2.1699156043862007,2.0961612684839066,1.6933333333333322,1.551829565384034,2.029009454162145,2.1244443718038113
Total_acc1,1.0,1.0,3.0,6.0,7.0,8.0,8.0,1.0,6.0,6.0,1.0,1.0,1.0,2.0,6.0,2.0,7.0,3.0,3.0,1.0,4.0,4.0
Total_acc2,26.0,25.0,3.0,7.0,7.0,8.0,8.0,21.0,6.0,6.0,2.0,2.0,2.0,6.0,6.0,2.0,26.0,23.0,27.0,26.0,25.0,24.0
Total_acc3,27.0,27.0,4.0,8.0,8.0,8.0,8.0,22.0,7.0,7.0,3.0,3.0,2.0,8.0,7.0,7.0,27.0,27.0,27.0,27.0,27.0,27.0
Total_acc5,28.0,27.0,27.0,14.0,9.0,9.0,9.0,24.0,9.0,9.0,9.0,9.0,5.0,9.0,9.0,9.0,28.0,28.0,28.0,28.0,28.0,28.0
rate_acc1,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.21428571428571427,0.25,0.2857142857142857,0.2857142857142857,0.03571428571428571,0.21428571428571427,0.21428571428571427,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.25,0.10714285714285714,0.10714285714285714,0.03571428571428571,0.14285714285714285,0.14285714285714285
rate_acc2,0.9285714285714286,0.8928571428571429,0.10714285714285714,0.25,0.25,0.2857142857142857,0.2857142857142857,0.75,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.9285714285714286,0.8214285714285714,0.9642857142857143,0.9285714285714286,0.8928571428571429,0.8571428571428571
rate_acc3,0.9642857142857143,0.9642857142857143,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7857142857142857,0.25,0.25,0.10714285714285714,0.10714285714285714,0.07142857142857142,0.2857142857142857,0.25,0.25,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143
rate_acc5,1.0,0.9642857142857143,0.9642857142857143,0.5,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.8571428571428571,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.17857142857142858,0.32142857142857145,0.32142857142857145,0.32142857142857145,1.0,1.0,1.0,1.0,1.0,1.0
