,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,89,19,3,479,2498,1,1718,combine
median_Examscore(%),69.445,69.445,11.115,16.67,16.67,16.67,16.67,88.89,16.67,16.67,8.334999999999999,8.334999999999999,13.89,16.67,16.67,11.11,8.334999999999999,5.56,5.56,8.334999999999999,5.56,8.334999999999999,11.11,5.56
mean_Examscore(%),48.07576923076924,48.07576923076924,17.524615384615387,14.530769230769234,23.076923076923073,22.223076923076913,22.223076923076913,62.82,23.076923076923073,23.076923076923073,21.15423076923076,21.15423076923076,22.436153846153847,23.076923076923073,23.076923076923073,22.861923076923077,10.473461538461542,7.9080769230769254,12.181153846153848,10.473461538461542,12.181153846153848,10.473461538461542,12.821538461538465,10.046538461538464
sd_Examscore(%),29.853098756822803,29.853098756822803,20.825979204977468,7.211524622755954,17.613148445233925,18.320656051404004,18.320656051404004,42.478391589136244,17.613148445233925,17.613148445233925,18.853403549084057,18.853403549084057,13.37863821976604,17.613148445233925,17.613148445233925,17.518106523076234,5.287849424715264,2.7962646787895733,8.164623360289474,5.287849424715264,8.164623360289474,5.287849424715264,7.81738457148307,5.447086518356539
Total_acc1,0.0,0.0,13.0,8.0,8.0,12.0,12.0,0.0,8.0,8.0,13.0,13.0,0.0,8.0,8.0,5.0,13.0,15.0,15.0,13.0,15.0,13.0,12.0,15.0
Total_acc2,10.0,10.0,13.0,12.0,12.0,12.0,12.0,10.0,12.0,12.0,16.0,16.0,13.0,12.0,12.0,16.0,16.0,26.0,16.0,16.0,16.0,16.0,16.0,16.0
Total_acc3,10.0,10.0,23.0,16.0,16.0,16.0,16.0,10.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,26.0,26.0,16.0,26.0,16.0,26.0,16.0,26.0
Total_acc5,10.0,10.0,23.0,26.0,16.0,16.0,16.0,10.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
rate_acc1,0.0,0.0,0.5,0.3076923076923077,0.3076923076923077,0.46153846153846156,0.46153846153846156,0.0,0.3076923076923077,0.3076923076923077,0.5,0.5,0.0,0.3076923076923077,0.3076923076923077,0.19230769230769232,0.5,0.5769230769230769,0.5769230769230769,0.5,0.5769230769230769,0.5,0.46153846153846156,0.5769230769230769
rate_acc2,0.38461538461538464,0.38461538461538464,0.5,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.38461538461538464,0.46153846153846156,0.46153846153846156,0.6153846153846154,0.6153846153846154,0.5,0.46153846153846156,0.46153846153846156,0.6153846153846154,0.6153846153846154,1.0,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
rate_acc3,0.38461538461538464,0.38461538461538464,0.8846153846153846,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,1.0,1.0,0.6153846153846154,1.0,0.6153846153846154,1.0,0.6153846153846154,1.0
rate_acc5,0.38461538461538464,0.38461538461538464,0.8846153846153846,1.0,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
