,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,89,19,3,479,2498,1,1718,combine
INRESMut78_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0
INRESMut186_T2,13.0,13.0,1.0,2.0,2.0,1.0,1.0,18.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut123_T2,13.0,13.0,1.0,2.0,2.0,1.0,1.0,18.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut1_T2,13.0,13.0,1.0,3.0,3.0,3.0,3.0,18.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
INRESMut194_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0
INRESMut149_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0
INRESMut113_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut200_T3,12.0,12.0,13.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
INRESMut109_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut5_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0
INRESMut144_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut55_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0
INRESMut36_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0
INRESMut161_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0
INRESMut143_T2,13.0,13.0,1.0,3.0,3.0,3.0,3.0,18.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
INRESMut66_T2,13.0,13.0,1.0,3.0,3.0,3.0,3.0,18.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
INRESMut42_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0
INRESMut88_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0
INRESMut3_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut147_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0
INRESMut101_T3,12.0,12.0,13.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
INRESMut72_T3,12.0,12.0,13.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
INRESMut81_T2,13.0,13.0,1.0,2.0,2.0,1.0,1.0,18.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut74_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut41_T2,13.0,13.0,1.0,2.0,2.0,1.0,1.0,18.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut93_T2,13.0,13.0,1.0,3.0,3.0,3.0,3.0,18.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
