,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1,29,2997,1797,1665,combine
median_Examscore(%),51.56,45.315,48.44,54.685,60.94,60.94,60.94,51.56,60.94,60.94,60.94,60.94,54.685,60.94,64.06,60.94,45.315,51.56,43.75,48.44,45.315,43.75
mean_Examscore(%),48.197307692307696,46.39461538461539,50.00076923076923,51.08192307692308,57.9323076923077,57.9323076923077,57.9323076923077,48.197307692307696,57.45153846153847,57.9323076923077,57.9323076923077,57.9323076923077,53.60576923076923,57.45153846153847,60.09692307692309,57.9323076923077,48.198076923076925,48.55807692307693,42.90846153846154,49.39923076923076,46.033846153846156,42.90846153846154
sd_Examscore(%),23.868147235626363,22.249326143642055,22.810688533768886,25.171154287275865,26.841556334563357,26.841556334563357,26.841556334563357,23.868147235626363,26.16125129917263,26.841556334563357,26.841556334563357,26.841556334563357,26.76090195386948,26.16125129917263,26.79879650569865,26.841556334563357,25.45194169712492,24.59464283444356,22.56214470165595,22.2380928900078,21.69553061382424,22.56214470165595
Total_acc1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
Total_acc2,1.0,1.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,2.0
Total_acc3,2.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0
Total_acc5,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0
rate_acc1,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693
rate_acc2,0.038461538461538464,0.038461538461538464,0.0,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.07692307692307693,0.0,0.038461538461538464,0.07692307692307693
rate_acc3,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.07692307692307693,0.11538461538461539
rate_acc5,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.15384615384615385,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.11538461538461539,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.15384615384615385
