,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1,29,2997,1797,1665,combine
InFlightMut19_T30,26.0,22.0,24.0,27.0,30.0,30.0,30.0,26.0,29.0,30.0,30.0,30.0,30.0,29.0,30.0,30.0,22.0,26.0,23.0,23.0,22.0,23.0
InFlightMut15_T19,18.0,14.0,15.0,19.0,21.0,21.0,21.0,18.0,21.0,21.0,21.0,21.0,19.0,21.0,22.0,21.0,14.0,18.0,15.0,15.0,14.0,15.0
InFlightMut20_T10,9.0,7.0,8.0,12.0,14.0,14.0,14.0,9.0,14.0,14.0,14.0,14.0,10.0,14.0,15.0,14.0,7.0,11.0,8.0,8.0,7.0,8.0
InFlightMut17_T10,9.0,7.0,8.0,12.0,14.0,14.0,14.0,9.0,14.0,14.0,14.0,14.0,10.0,14.0,15.0,14.0,7.0,11.0,8.0,8.0,7.0,8.0
InFlightMut48_T4,3.0,3.0,4.0,8.0,10.0,10.0,10.0,3.0,10.0,10.0,10.0,10.0,4.0,10.0,11.0,10.0,3.0,7.0,4.0,4.0,3.0,4.0
InFlightMut109_T11,10.0,25.0,26.0,2.0,3.0,3.0,3.0,10.0,3.0,3.0,3.0,3.0,11.0,3.0,3.0,3.0,30.0,2.0,24.0,28.0,24.0,24.0
InFlightMut198_T20,19.0,15.0,16.0,20.0,22.0,22.0,22.0,19.0,22.0,22.0,22.0,22.0,20.0,22.0,23.0,22.0,15.0,19.0,16.0,16.0,15.0,16.0
InFlightMut156_T21,20.0,16.0,17.0,21.0,23.0,23.0,23.0,20.0,23.0,23.0,23.0,23.0,21.0,23.0,24.0,23.0,16.0,20.0,17.0,17.0,16.0,17.0
InFlightMut176_T29,25.0,21.0,23.0,26.0,29.0,29.0,29.0,25.0,28.0,29.0,29.0,29.0,29.0,28.0,29.0,29.0,21.0,25.0,22.0,22.0,21.0,22.0
InFlightMut118_T12,11.0,8.0,9.0,13.0,15.0,15.0,15.0,11.0,15.0,15.0,15.0,15.0,12.0,15.0,16.0,15.0,8.0,12.0,9.0,9.0,8.0,9.0
InFlightMut107_T18,17.0,13.0,14.0,18.0,20.0,20.0,20.0,17.0,20.0,20.0,20.0,20.0,18.0,20.0,21.0,20.0,13.0,17.0,14.0,14.0,13.0,14.0
InFlightMut114_T13,12.0,9.0,10.0,14.0,16.0,16.0,16.0,12.0,16.0,16.0,16.0,16.0,13.0,16.0,17.0,16.0,9.0,13.0,10.0,10.0,9.0,10.0
InFlightMut47_T6,5.0,26.0,27.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,31.0,1.0,1.0,26.0,25.0,1.0
InFlightMut188_T8,7.0,6.0,7.0,11.0,13.0,13.0,13.0,7.0,13.0,13.0,13.0,13.0,8.0,13.0,14.0,13.0,6.0,10.0,7.0,7.0,6.0,7.0
InFlightMut146_T32,28.0,24.0,26.0,29.0,32.0,32.0,32.0,28.0,31.0,32.0,32.0,32.0,32.0,31.0,32.0,32.0,24.0,28.0,25.0,25.0,24.0,25.0
InFlightMut42_T24,22.0,18.0,19.0,23.0,25.0,25.0,25.0,22.0,25.0,25.0,25.0,25.0,24.0,25.0,26.0,25.0,18.0,22.0,19.0,19.0,18.0,19.0
InFlightMut22_T6,5.0,26.0,27.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,31.0,1.0,1.0,26.0,25.0,1.0
InFlightMut130_T3,2.0,2.0,3.0,7.0,9.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,3.0,9.0,10.0,9.0,2.0,6.0,3.0,3.0,2.0,3.0
InFlightMut142_T18,17.0,13.0,14.0,18.0,20.0,20.0,20.0,17.0,20.0,20.0,20.0,20.0,18.0,20.0,21.0,20.0,13.0,17.0,14.0,14.0,13.0,14.0
InFlightMut101_T24,22.0,18.0,19.0,23.0,25.0,25.0,25.0,22.0,25.0,25.0,25.0,25.0,24.0,25.0,26.0,25.0,18.0,22.0,19.0,19.0,18.0,19.0
InFlightMut40_T17,16.0,12.0,13.0,17.0,19.0,19.0,19.0,16.0,19.0,19.0,19.0,19.0,17.0,19.0,20.0,19.0,12.0,16.0,13.0,13.0,12.0,13.0
InFlightMut154_T22,18.0,17.0,18.0,19.0,25.0,25.0,25.0,18.0,25.0,25.0,25.0,25.0,22.0,25.0,25.0,25.0,17.0,20.0,17.0,17.0,17.0,17.0
InFlightMut110_T16,15.0,11.0,12.0,16.0,18.0,18.0,18.0,15.0,18.0,18.0,18.0,18.0,16.0,18.0,19.0,18.0,11.0,15.0,12.0,12.0,11.0,12.0
InFlightMut14_T16,15.0,11.0,12.0,16.0,18.0,18.0,18.0,15.0,18.0,18.0,18.0,18.0,16.0,18.0,19.0,18.0,11.0,15.0,12.0,12.0,11.0,12.0
InFlightMut29_T26,23.0,19.0,20.0,24.0,26.0,26.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,26.0,19.0,23.0,20.0,20.0,19.0,20.0
InFlightMut160_T31,27.0,23.0,25.0,28.0,31.0,31.0,31.0,27.0,30.0,31.0,31.0,31.0,31.0,30.0,31.0,31.0,23.0,27.0,24.0,24.0,23.0,24.0
