,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,658,1162,2205,45,28,combine
median_Examscore(%),28.4,28.4,28.4,28.4,32.1,32.1,32.1,28.4,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,29.63,29.63,29.63,29.63,29.63,29.63
mean_Examscore(%),46.326666666666654,46.26809523809523,33.68571428571428,33.803333333333335,32.09761904761905,32.2152380952381,32.27428571428572,46.56142857142856,32.09761904761905,32.09761904761905,32.09761904761905,32.09761904761905,32.03904761904763,32.09761904761905,32.09761904761905,32.09761904761905,29.981428571428577,29.863333333333337,29.863333333333337,30.393333333333338,29.863333333333337,29.863333333333337
sd_Examscore(%),33.924234454639254,33.98907730713613,30.102855109013923,30.014933005644597,27.734033227203334,27.601500252531128,27.53870268756837,34.291237989567286,27.734033227203334,27.734033227203334,27.734033227203334,27.734033227203334,27.649912821700163,27.734033227203334,27.734033227203334,27.734033227203334,27.169797070591873,27.297615707847697,27.297615707847697,26.939624038455573,27.297615707847697,27.297615707847697
Total_acc1,1.0,1.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0
Total_acc2,1.0,1.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Total_acc3,1.0,1.0,4.0,4.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Total_acc5,1.0,1.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
rate_acc1,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.14285714285714285,0.19047619047619047,0.19047619047619047
rate_acc2,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.19047619047619047,0.23809523809523808,0.19047619047619047,0.19047619047619047,0.047619047619047616,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808
rate_acc3,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.19047619047619047,0.047619047619047616,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808
rate_acc5,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.047619047619047616,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808
