,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,658,1162,2205,45,28,combine
MLSMut131_T26,22.0,22.0,23.0,23.0,26.0,26.0,26.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0,24.0,24.0,24.0,24.0,24.0
MLSMut122_T76,72.0,72.0,73.0,73.0,76.0,76.0,76.0,72.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,74.0,74.0,74.0,74.0,74.0,74.0
MLSMut127_T26,22.0,22.0,23.0,23.0,26.0,26.0,26.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0,24.0,24.0,24.0,24.0,24.0
MLSMut157_T76,72.0,72.0,73.0,73.0,76.0,76.0,76.0,72.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,74.0,74.0,74.0,74.0,74.0,74.0
MLSMut12_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
MLSMut155_T11,9.0,8.0,9.0,11.0,15.0,15.0,15.0,9.0,15.0,15.0,15.0,15.0,11.0,15.0,15.0,15.0,9.0,9.0,9.0,15.0,9.0,9.0
MLSMut162_T27,23.0,23.0,24.0,24.0,27.0,27.0,27.0,23.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,25.0,25.0,25.0,25.0,25.0,25.0
MLSMut193_T11,79.0,79.0,80.0,80.0,2.0,2.0,2.0,80.0,2.0,2.0,2.0,2.0,11.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
MLSMut164_T1,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
MLSMut130_T26,22.0,22.0,23.0,23.0,26.0,26.0,26.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0,24.0,24.0,24.0,24.0,24.0
MLSMut151_T21,17.0,17.0,18.0,18.0,21.0,21.0,21.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,19.0,19.0,19.0,19.0,19.0,19.0
MLSMut188_T27,23.0,23.0,24.0,24.0,27.0,27.0,27.0,23.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,25.0,25.0,25.0,25.0,25.0,25.0
MLSMut119_T26,22.0,22.0,23.0,23.0,26.0,26.0,26.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0,24.0,24.0,24.0,24.0,24.0
MLSMut149_T9,8.0,8.0,9.0,9.0,12.0,12.0,12.0,8.0,12.0,12.0,12.0,12.0,9.0,12.0,12.0,12.0,9.0,9.0,9.0,10.0,9.0,9.0
MLSMut174_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
MLSMut124_T51,47.0,47.0,48.0,48.0,51.0,51.0,51.0,47.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0
MLSMut22_T51,47.0,47.0,48.0,48.0,51.0,51.0,51.0,47.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0
MLSMut105_T9,8.0,8.0,9.0,9.0,12.0,12.0,12.0,8.0,12.0,12.0,12.0,12.0,9.0,12.0,12.0,12.0,9.0,9.0,9.0,10.0,9.0,9.0
MLSMut175_T27,23.0,23.0,24.0,24.0,27.0,27.0,27.0,23.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,25.0,25.0,25.0,25.0,25.0,25.0
MLSMut103_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
MLSMut123_T41,37.0,37.0,38.0,38.0,41.0,41.0,41.0,37.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,39.0,39.0,39.0,39.0,39.0,39.0
