,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1640,1,2160,41,1791,2,combine
median_Examscore(%),58.82,58.82,11.76,11.76,11.76,5.88,5.88,58.82,11.76,11.76,23.53,23.53,23.53,5.88,11.76,11.76,5.88,11.76,5.88,5.88,5.88,5.88,5.88
mean_Examscore(%),44.85125000000002,44.85125000000002,36.761250000000004,15.192499999999995,17.398749999999996,19.11666666666666,22.54666666666667,46.81125000000002,17.398749999999996,17.398749999999996,28.922499999999996,28.922499999999996,34.06999999999999,15.683749999999996,17.398749999999996,17.398749999999996,10.781249999999998,12.251249999999997,10.781249999999998,10.781249999999998,10.781249999999998,11.516249999999998,10.781249999999998
sd_Examscore(%),30.334235259922863,30.334235259922863,34.090999617073486,14.812786265808395,20.706893897716864,21.40477956919427,22.794089940857127,32.51949439583693,20.706893897716864,20.706893897716864,16.72030144569118,16.72030144569118,18.518454485235505,21.363773443866826,20.706893897716864,20.706893897716864,7.692582148322871,7.134717515202628,7.692582148322871,7.692582148322871,7.692582148322871,9.575839076641751,7.692582148322871
Total_acc1,7.0,7.0,6.0,7.0,7.0,14.0,14.0,7.0,7.0,7.0,0.0,0.0,0.0,14.0,7.0,7.0,13.0,7.0,13.0,13.0,13.0,13.0,13.0
Total_acc2,7.0,7.0,13.0,21.0,21.0,14.0,14.0,7.0,21.0,21.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Total_acc3,7.0,7.0,13.0,21.0,21.0,14.0,14.0,7.0,21.0,21.0,8.0,8.0,8.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Total_acc5,10.0,10.0,13.0,21.0,21.0,21.0,14.0,10.0,21.0,21.0,21.0,21.0,15.0,21.0,21.0,21.0,24.0,24.0,24.0,24.0,24.0,21.0,24.0
rate_acc1,0.2916666666666667,0.2916666666666667,0.25,0.2916666666666667,0.2916666666666667,0.5833333333333334,0.5833333333333334,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.0,0.0,0.0,0.5833333333333334,0.2916666666666667,0.2916666666666667,0.5416666666666666,0.2916666666666667,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666
rate_acc2,0.2916666666666667,0.2916666666666667,0.5416666666666666,0.875,0.875,0.5833333333333334,0.5833333333333334,0.2916666666666667,0.875,0.875,0.0,0.0,0.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
rate_acc3,0.2916666666666667,0.2916666666666667,0.5416666666666666,0.875,0.875,0.5833333333333334,0.5833333333333334,0.2916666666666667,0.875,0.875,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
rate_acc5,0.4166666666666667,0.4166666666666667,0.5416666666666666,0.875,0.875,0.875,0.5833333333333334,0.4166666666666667,0.875,0.875,0.875,0.875,0.625,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,0.875,1.0
