,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1,1295,83,3,96,1261,1229,23,combine
OLSRMut181_T23,14.0,13.0,14.0,16.0,23.0,23.0,23.0,14.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,17.0,14.0,21.0,19.0,20.0,20.0,16.0,15.0,18.0
OLSRMut129_T18,9.0,8.0,9.0,11.0,18.0,18.0,18.0,9.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,12.0,9.0,16.0,14.0,15.0,15.0,11.0,10.0,13.0
OLSRMut187_T1,16.0,14.0,1.0,3.0,1.0,1.0,1.0,23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,5.0,1.0,2.0,2.0,17.0,4.0
OLSRMut191_T6,2.0,2.0,3.0,5.0,12.0,12.0,12.0,2.0,12.0,12.0,12.0,12.0,6.0,12.0,12.0,12.0,6.0,3.0,10.0,8.0,9.0,9.0,5.0,4.0,7.0
OLSRMut115_T8,21.0,19.0,18.0,21.0,6.0,6.0,5.0,18.0,5.0,5.0,6.0,6.0,8.0,5.0,5.0,6.0,4.0,17.0,6.0,6.0,5.0,5.0,19.0,18.0,19.0
OLSRMut164_T9,23.0,23.0,23.0,20.0,10.0,10.0,10.0,16.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,21.0,19.0,22.0,23.0,22.0,21.0,21.0,21.0,23.0
OLSRMut107_T2,15.0,15.0,15.0,1.0,2.0,2.0,2.0,21.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
OLSRMut142_T2,15.0,15.0,15.0,1.0,2.0,2.0,2.0,21.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
OLSRMut149_T16,7.0,6.0,7.0,9.0,16.0,16.0,16.0,7.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,10.0,7.0,14.0,12.0,13.0,13.0,9.0,8.0,11.0
OLSRMut130_T7,22.0,20.0,20.0,22.0,7.0,7.0,6.0,20.0,6.0,6.0,5.0,5.0,7.0,6.0,6.0,5.0,19.0,21.0,5.0,22.0,21.0,3.0,22.0,19.0,21.0
OLSRMut184_T18,9.0,8.0,9.0,11.0,18.0,18.0,18.0,9.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,12.0,9.0,16.0,14.0,15.0,15.0,11.0,10.0,13.0
OLSRMut19_T5,17.0,17.0,16.0,19.0,4.0,4.0,4.0,19.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,15.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0
OLSRMut137_T16,7.0,6.0,7.0,9.0,16.0,16.0,16.0,7.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,10.0,7.0,14.0,12.0,13.0,13.0,9.0,8.0,11.0
OLSRMut13_T5,17.0,17.0,16.0,19.0,4.0,4.0,4.0,19.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,15.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0
OLSRMut20_T2,15.0,15.0,15.0,1.0,2.0,2.0,2.0,21.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
OLSRMut154_T22,13.0,12.0,13.0,15.0,22.0,22.0,22.0,13.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,16.0,13.0,20.0,18.0,19.0,19.0,15.0,14.0,17.0
OLSRMut145_T11,3.0,3.0,4.0,6.0,13.0,13.0,13.0,3.0,13.0,13.0,13.0,13.0,11.0,13.0,13.0,13.0,7.0,4.0,11.0,9.0,10.0,10.0,6.0,5.0,8.0
OLSRMut161_T14,6.0,6.0,7.0,9.0,15.0,15.0,15.0,6.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,10.0,7.0,14.0,12.0,13.0,12.0,9.0,7.0,10.0
OLSRMut151_T22,13.0,12.0,13.0,15.0,22.0,22.0,22.0,13.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,16.0,13.0,20.0,18.0,19.0,19.0,15.0,14.0,17.0
OLSRMut192_T2,15.0,15.0,15.0,1.0,2.0,2.0,2.0,21.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
OLSRMut113_T19,10.0,9.0,10.0,12.0,19.0,19.0,19.0,10.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,13.0,10.0,17.0,15.0,16.0,16.0,12.0,11.0,14.0
OLSRMut100_T17,8.0,7.0,8.0,10.0,17.0,17.0,17.0,8.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,11.0,8.0,15.0,13.0,14.0,14.0,10.0,9.0,12.0
OLSRMut171_T3,1.0,1.0,2.0,4.0,11.0,11.0,11.0,1.0,11.0,11.0,11.0,11.0,3.0,11.0,11.0,11.0,5.0,2.0,9.0,7.0,8.0,8.0,4.0,3.0,6.0
OLSRMut155_T16,7.0,6.0,7.0,9.0,16.0,16.0,16.0,7.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,10.0,7.0,14.0,12.0,13.0,13.0,9.0,8.0,11.0
