,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,2,2332,465,1,43,1398,2990,425,combine
median_Examscore(%),24.56,25.44,24.56,32.895,25.44,25.44,25.44,70.175,25.44,25.44,25.44,25.44,24.56,26.32,25.44,26.32,5.265,6.14,7.015,10.084999999999999,13.6,13.16,12.719999999999999,14.91,5.705
mean_Examscore(%),27.53192307692307,31.174999999999994,29.386923076923072,41.49692307692308,31.44538461538461,31.44538461538461,31.44538461538461,53.20615384615384,41.80192307692307,31.44538461538461,31.44538461538461,31.44538461538461,31.310769230769225,28.104615384615382,27.901923076923076,31.985384615384607,19.70384615384615,24.561923076923073,19.399615384615384,18.994230769230768,17.74692307692308,21.456923076923072,17.544230769230765,22.435,17.308461538461533
sd_Examscore(%),25.749382908214447,23.00135948156108,24.30013461184621,37.14886590669823,22.73623719629424,22.73623719629424,22.73623719629424,30.779622879681042,35.30534486666072,22.73623719629424,22.73623719629424,22.73623719629424,22.52548954816777,20.275625411960878,20.333754797229318,22.210947972703774,24.14260434616333,32.75018937584707,23.975654899212948,21.365627193803963,19.102386190050872,23.080307930221515,19.08793633121756,23.59195748555003,21.101785268987584
Total_acc1,8.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,3.0,8.0,1.0,7.0,2.0,8.0
Total_acc2,9.0,3.0,6.0,9.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,6.0,9.0
Total_acc3,9.0,3.0,6.0,9.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,11.0,8.0,11.0,9.0,8.0,8.0,9.0,10.0,11.0
Total_acc5,9.0,5.0,7.0,9.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,13.0,10.0,11.0,10.0,10.0,9.0,9.0,11.0,13.0
rate_acc1,0.3076923076923077,0.07692307692307693,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.11538461538461539,0.3076923076923077,0.038461538461538464,0.2692307692307692,0.07692307692307693,0.3076923076923077
rate_acc2,0.34615384615384615,0.11538461538461539,0.23076923076923078,0.34615384615384615,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.34615384615384615,0.3076923076923077,0.34615384615384615,0.3076923076923077,0.3076923076923077,0.2692307692307692,0.34615384615384615,0.23076923076923078,0.34615384615384615
rate_acc3,0.34615384615384615,0.11538461538461539,0.23076923076923078,0.34615384615384615,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.4230769230769231,0.3076923076923077,0.4230769230769231,0.34615384615384615,0.3076923076923077,0.3076923076923077,0.34615384615384615,0.38461538461538464,0.4230769230769231
rate_acc5,0.34615384615384615,0.19230769230769232,0.2692307692307692,0.34615384615384615,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.038461538461538464,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.15384615384615385,0.15384615384615385,0.19230769230769232,0.15384615384615385,0.5,0.38461538461538464,0.4230769230769231,0.38461538461538464,0.38461538461538464,0.34615384615384615,0.34615384615384615,0.4230769230769231,0.5
