,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,333,1890,2,1,4,8,1627,6,combine
RM2Mut17_T119,119.0,119.0,119.0,81.0,119.0,119.0,119.0,77.0,117.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,85.0,70.0,87.0,87.0,89.0,87.0,88.0,85.0,85.0
RM2Mut195_T161,161.0,161.0,161.0,123.0,161.0,161.0,161.0,119.0,159.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,127.0,112.0,129.0,129.0,131.0,129.0,130.0,127.0,127.0
RM2Mut164_T30,18.0,6.0,21.0,191.0,6.0,6.0,6.0,208.0,6.0,6.0,6.0,6.0,29.0,6.0,6.0,10.0,9.0,176.0,13.0,5.0,13.0,6.0,19.0,20.0,5.0
RM2Mut161_T56,64.0,64.0,64.0,27.0,64.0,64.0,64.0,21.0,63.0,64.0,64.0,64.0,64.0,65.0,64.0,64.0,31.0,16.0,33.0,33.0,35.0,33.0,34.0,31.0,31.0
RM2Mut143_T132,132.0,132.0,132.0,94.0,132.0,132.0,132.0,90.0,130.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,98.0,83.0,100.0,100.0,102.0,100.0,101.0,98.0,98.0
RM2Mut100_T205,205.0,205.0,205.0,167.0,205.0,205.0,205.0,163.0,203.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,171.0,156.0,173.0,173.0,175.0,173.0,174.0,171.0,171.0
RM2Mut165_T114,114.0,114.0,114.0,76.0,114.0,114.0,114.0,72.0,112.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,80.0,65.0,82.0,82.0,84.0,82.0,83.0,80.0,80.0
RM2Mut131_T29,53.0,53.0,48.0,17.0,53.0,53.0,53.0,7.0,53.0,53.0,53.0,53.0,53.0,55.0,53.0,53.0,21.0,6.0,23.0,23.0,25.0,23.0,24.0,21.0,21.0
RM2Mut140_T120,13.0,37.0,16.0,13.0,39.0,39.0,39.0,78.0,39.0,39.0,40.0,40.0,53.0,39.0,39.0,40.0,21.0,208.0,17.0,20.0,18.0,19.0,10.0,14.0,21.0
RM2Mut147_T191,191.0,191.0,191.0,153.0,191.0,191.0,191.0,149.0,189.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,157.0,142.0,159.0,159.0,161.0,159.0,160.0,157.0,157.0
RM2Mut134_T141,141.0,141.0,141.0,103.0,141.0,141.0,141.0,99.0,139.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,107.0,92.0,109.0,109.0,111.0,109.0,110.0,107.0,107.0
RM2Mut169_T132,132.0,132.0,132.0,94.0,132.0,132.0,132.0,90.0,130.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,98.0,83.0,100.0,100.0,102.0,100.0,101.0,98.0,98.0
RM2Mut193_T128,128.0,128.0,128.0,90.0,128.0,128.0,128.0,86.0,126.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,94.0,79.0,96.0,96.0,98.0,96.0,97.0,94.0,94.0
RM2Mut186_T167,167.0,167.0,167.0,129.0,167.0,167.0,167.0,125.0,165.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,133.0,118.0,135.0,135.0,137.0,135.0,136.0,133.0,133.0
RM2Mut133_T114,114.0,114.0,114.0,76.0,114.0,114.0,114.0,72.0,112.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,80.0,65.0,82.0,82.0,84.0,82.0,83.0,80.0,80.0
RM2Mut25_T31,14.0,4.0,2.0,3.0,4.0,4.0,4.0,191.0,4.0,4.0,4.0,4.0,30.0,4.0,4.0,4.0,2.0,4.0,6.0,3.0,3.0,3.0,14.0,6.0,3.0
RM2Mut112_T158,158.0,158.0,158.0,120.0,158.0,158.0,158.0,116.0,156.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,124.0,109.0,126.0,126.0,128.0,126.0,127.0,124.0,124.0
