,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,55,2,14,45,28,combine
median_Examscore(%),98.25,98.25,98.25,98.25,3.51,3.51,3.51,98.25,3.51,3.51,3.51,3.51,31.58,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51
mean_Examscore(%),68.82136363636363,68.82136363636363,68.82136363636363,68.82136363636363,17.78181818181818,17.78181818181818,17.78181818181818,68.82136363636363,17.78181818181818,17.78181818181818,17.78181818181818,17.78181818181818,22.724545454545456,17.78181818181818,17.78181818181818,17.78181818181818,17.78181818181818,17.78181818181818,17.78181818181818,17.78181818181818,17.78181818181818,17.78181818181818
sd_Examscore(%),33.538874856252654,33.538874856252654,33.538874856252654,33.538874856252654,17.58190510192189,17.58190510192189,17.58190510192189,33.538874856252654,17.58190510192189,17.58190510192189,17.58190510192189,17.58190510192189,18.309207604833233,17.58190510192189,17.58190510192189,17.58190510192189,17.58190510192189,17.58190510192189,17.58190510192189,17.58190510192189,17.58190510192189,17.58190510192189
Total_acc1,0.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Total_acc2,0.0,0.0,0.0,0.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Total_acc3,0.0,0.0,0.0,0.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Total_acc5,0.0,0.0,0.0,0.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
rate_acc1,0.0,0.0,0.0,0.0,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.0,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091
rate_acc2,0.0,0.0,0.0,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.4090909090909091,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
rate_acc3,0.0,0.0,0.0,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.4090909090909091,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
rate_acc5,0.0,0.0,0.0,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.4090909090909091,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
