,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,55,2,14,45,28,combine
SIPMut17_T1,56.0,56.0,56.0,56.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut181_T1,56.0,56.0,56.0,56.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut185_T18,17.0,17.0,17.0,17.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut20_T1,56.0,56.0,56.0,56.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut176_T26,57.0,57.0,57.0,57.0,2.0,2.0,2.0,57.0,2.0,2.0,2.0,2.0,26.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SIPMut113_T21,20.0,20.0,20.0,20.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut150_T21,20.0,20.0,20.0,20.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut200_T26,57.0,57.0,57.0,57.0,2.0,2.0,2.0,57.0,2.0,2.0,2.0,2.0,26.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SIPMut172_T18,17.0,17.0,17.0,17.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut110_T1,56.0,56.0,56.0,56.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut184_T18,17.0,17.0,17.0,17.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut156_T1,56.0,56.0,56.0,56.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut154_T1,56.0,56.0,56.0,56.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut104_T1,56.0,56.0,56.0,56.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut128_T21,20.0,20.0,20.0,20.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut161_T21,20.0,20.0,20.0,20.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut193_T18,17.0,17.0,17.0,17.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut103_T26,57.0,57.0,57.0,57.0,2.0,2.0,2.0,57.0,2.0,2.0,2.0,2.0,26.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SIPMut135_T21,20.0,20.0,20.0,20.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut162_T1,56.0,56.0,56.0,56.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut131_T1,56.0,56.0,56.0,56.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut167_T21,20.0,20.0,20.0,20.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
