,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,24,5,1247,1526,1011,8,9,combine
median_Examscore(%),38.1,35.715,38.1,38.1,57.14,57.14,57.14,33.33,40.480000000000004,57.14,57.14,57.14,52.38,59.519999999999996,66.67,57.14,33.33,33.33,28.57,38.1,30.95,33.33,30.95,28.57
mean_Examscore(%),40.475750000000005,40.35624999999999,40.1185,39.04774999999999,45.5945,45.5945,45.4755,41.189499999999995,45.3575,46.66625,47.14225,47.14225,47.619749999999996,55.0,62.738000000000014,45.713499999999996,38.214999999999996,35.832499999999996,35.2375,42.0245,36.309749999999994,37.26174999999999,37.2625,30.95274999999999
sd_Examscore(%),27.829309110664656,27.64072392160264,27.868954103455568,26.52877938830457,27.342656722905822,27.342656722905822,27.2370406681595,30.87089185375365,28.429241875043793,26.550632972077118,26.541957156161022,26.541957156161022,21.539639128408147,29.9812141181774,28.055980230009187,27.01960679836888,24.293423505982553,25.58719288518359,24.8447241213636,27.364453730135338,26.628234532068998,25.40173372717213,26.60943150222858,21.809677337753598
Total_acc1,3.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,2.0,4.0,1.0,5.0,2.0,5.0,4.0,2.0,5.0,4.0
Total_acc2,9.0,10.0,10.0,8.0,9.0,9.0,7.0,9.0,7.0,7.0,7.0,7.0,3.0,3.0,5.0,7.0,5.0,11.0,9.0,8.0,11.0,7.0,7.0,12.0
Total_acc3,12.0,11.0,12.0,11.0,9.0,9.0,9.0,11.0,8.0,8.0,8.0,8.0,7.0,5.0,5.0,8.0,8.0,11.0,10.0,9.0,11.0,9.0,13.0,15.0
Total_acc5,16.0,18.0,16.0,16.0,13.0,13.0,13.0,17.0,11.0,12.0,12.0,12.0,9.0,9.0,5.0,12.0,16.0,17.0,17.0,14.0,19.0,16.0,17.0,20.0
rate_acc1,0.075,0.025,0.075,0.075,0.1,0.1,0.1,0.075,0.075,0.075,0.1,0.1,0.025,0.075,0.05,0.1,0.025,0.125,0.05,0.125,0.1,0.05,0.125,0.1
rate_acc2,0.225,0.25,0.25,0.2,0.225,0.225,0.175,0.225,0.175,0.175,0.175,0.175,0.075,0.075,0.125,0.175,0.125,0.275,0.225,0.2,0.275,0.175,0.175,0.3
rate_acc3,0.3,0.275,0.3,0.275,0.225,0.225,0.225,0.275,0.2,0.2,0.2,0.2,0.175,0.125,0.125,0.2,0.2,0.275,0.25,0.225,0.275,0.225,0.325,0.375
rate_acc5,0.4,0.45,0.4,0.4,0.325,0.325,0.325,0.425,0.275,0.3,0.3,0.3,0.225,0.225,0.125,0.3,0.4,0.425,0.425,0.35,0.475,0.4,0.425,0.5
