,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1,1333,9,423,1711,combine
median_Examscore(%),6.67,6.67,13.33,20.0,6.67,6.67,6.67,20.0,6.67,96.67,20.0,20.0,13.33,20.0,6.67,20.0,3.33,6.67,6.67,6.67,6.67,3.33
mean_Examscore(%),7.144642857142855,10.477857142857145,15.235714285714279,39.99892857142858,18.213571428571424,35.23678571428573,34.998571428571445,39.99892857142858,7.7385714285714275,81.30964285714285,45.00035714285715,44.04607142857143,37.85607142857144,37.141071428571436,11.191071428571425,30.59357142857144,4.880357142857143,6.548214285714286,5.715714285714284,7.144642857142855,5.953214285714286,4.642142857142858
sd_Examscore(%),2.518924641430614,17.182781510083874,17.200296816683448,35.62555619727332,17.720926155523696,39.15258603195219,39.331701257503774,35.62555619727332,5.0557629121962036,32.05463316394577,45.41057785746848,46.210378931921184,37.13250112166247,38.025629596588296,6.55445753852587,29.538885258723663,1.9235335581180657,2.482918016831582,1.5365459788023088,2.518924641430614,2.1018617031212163,1.661140521054083
Total_acc1,3.0,4.0,5.0,3.0,12.0,12.0,13.0,3.0,8.0,3.0,5.0,12.0,5.0,12.0,3.0,12.0,16.0,8.0,8.0,3.0,9.0,17.0
Total_acc2,24.0,23.0,5.0,5.0,15.0,15.0,16.0,5.0,22.0,3.0,12.0,12.0,5.0,12.0,15.0,12.0,27.0,21.0,28.0,24.0,25.0,28.0
Total_acc3,25.0,23.0,5.0,6.0,17.0,17.0,17.0,6.0,23.0,3.0,13.0,13.0,13.0,13.0,17.0,13.0,28.0,28.0,28.0,25.0,28.0,28.0
Total_acc5,28.0,27.0,26.0,13.0,17.0,17.0,17.0,13.0,25.0,4.0,13.0,13.0,17.0,13.0,21.0,13.0,28.0,28.0,28.0,28.0,28.0,28.0
rate_acc1,0.10714285714285714,0.14285714285714285,0.17857142857142858,0.10714285714285714,0.42857142857142855,0.42857142857142855,0.4642857142857143,0.10714285714285714,0.2857142857142857,0.10714285714285714,0.17857142857142858,0.42857142857142855,0.17857142857142858,0.42857142857142855,0.10714285714285714,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.10714285714285714,0.32142857142857145,0.6071428571428571
rate_acc2,0.8571428571428571,0.8214285714285714,0.17857142857142858,0.17857142857142858,0.5357142857142857,0.5357142857142857,0.5714285714285714,0.17857142857142858,0.7857142857142857,0.10714285714285714,0.42857142857142855,0.42857142857142855,0.17857142857142858,0.42857142857142855,0.5357142857142857,0.42857142857142855,0.9642857142857143,0.75,1.0,0.8571428571428571,0.8928571428571429,1.0
rate_acc3,0.8928571428571429,0.8214285714285714,0.17857142857142858,0.21428571428571427,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.21428571428571427,0.8214285714285714,0.10714285714285714,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.6071428571428571,0.4642857142857143,1.0,1.0,1.0,0.8928571428571429,1.0,1.0
rate_acc5,1.0,0.9642857142857143,0.9285714285714286,0.4642857142857143,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.4642857142857143,0.8928571428571429,0.14285714285714285,0.4642857142857143,0.4642857142857143,0.6071428571428571,0.4642857142857143,0.75,0.4642857142857143,1.0,1.0,1.0,1.0,1.0,1.0
