,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1,1333,9,423,1711,combine
ATMMut42_T2,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,23.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
ATMMut127_T15,4.0,4.0,5.0,6.0,2.0,2.0,2.0,6.0,1.0,29.0,6.0,6.0,4.0,6.0,4.0,6.0,1.0,1.0,1.0,4.0,1.0,1.0
ATMMut24_T15,4.0,4.0,5.0,6.0,2.0,2.0,2.0,6.0,1.0,29.0,6.0,6.0,4.0,6.0,4.0,6.0,1.0,1.0,1.0,4.0,1.0,1.0
ATMMut186_T15,4.0,4.0,5.0,6.0,2.0,2.0,2.0,6.0,1.0,29.0,6.0,6.0,4.0,6.0,4.0,6.0,1.0,1.0,1.0,4.0,1.0,1.0
ATMMut119_T21,2.0,2.0,4.0,25.0,12.0,25.0,25.0,25.0,2.0,30.0,30.0,30.0,25.0,25.0,2.0,18.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut166_T17,2.0,2.0,4.0,25.0,11.0,25.0,25.0,25.0,2.0,30.0,30.0,30.0,25.0,25.0,2.0,18.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut172_T19,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut200_T17,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,25.0,2.0,1.0,3.0,1.0,6.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0
ATMMut197_T19,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut72_T5,3.0,29.0,30.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0
