,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,89,19,3,479,2498,1,1718,combine
median_Examscore(%),72.22,72.22,5.56,5.56,5.56,5.56,5.56,5.56,11.11,5.56,5.56,5.56,11.11,5.56,100.0,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56
mean_Examscore(%),61.53769230769232,61.53769230769232,22.652307692307694,12.822307692307694,9.83192307692308,13.250384615384617,12.82346153846154,12.822307692307694,32.05346153846154,17.736538461538462,13.250384615384617,13.250384615384617,13.88961538461539,13.250384615384617,80.1276923076923,13.250384615384617,8.550000000000002,6.840769230769231,8.55,8.550000000000002,8.55,8.550000000000002,8.76346153846154,7.696153846153849
sd_Examscore(%),22.050523133511785,22.050523133511785,27.970870892082328,13.942974806745454,6.5349558647206,14.058202582341524,14.205927197422263,13.942974806745454,35.669471982894024,16.175586775708062,14.058202582341524,14.058202582341524,13.537356161605334,14.058202582341524,32.0564969150021,14.058202582341524,4.224219691256601,2.384662530551312,6.129876997134609,4.224219691256601,6.129876997134609,4.224219691256601,6.118214080796908,4.179432570981931
Total_acc1,0.0,0.0,16.0,16.0,17.0,17.0,19.0,16.0,11.0,16.0,17.0,17.0,11.0,17.0,0.0,17.0,16.0,20.0,20.0,16.0,20.0,16.0,19.0,20.0
Total_acc2,4.0,4.0,16.0,22.0,19.0,19.0,19.0,22.0,17.0,16.0,19.0,19.0,22.0,19.0,4.0,19.0,22.0,26.0,22.0,22.0,22.0,22.0,22.0,22.0
Total_acc3,4.0,4.0,20.0,22.0,22.0,22.0,22.0,22.0,17.0,16.0,22.0,22.0,22.0,22.0,4.0,22.0,26.0,26.0,22.0,26.0,22.0,26.0,22.0,26.0
Total_acc5,4.0,4.0,20.0,22.0,26.0,22.0,22.0,22.0,17.0,17.0,22.0,22.0,22.0,22.0,4.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
rate_acc1,0.0,0.0,0.6153846153846154,0.6153846153846154,0.6538461538461539,0.6538461538461539,0.7307692307692307,0.6153846153846154,0.4230769230769231,0.6153846153846154,0.6538461538461539,0.6538461538461539,0.4230769230769231,0.6538461538461539,0.0,0.6538461538461539,0.6153846153846154,0.7692307692307693,0.7692307692307693,0.6153846153846154,0.7692307692307693,0.6153846153846154,0.7307692307692307,0.7692307692307693
rate_acc2,0.15384615384615385,0.15384615384615385,0.6153846153846154,0.8461538461538461,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.8461538461538461,0.6538461538461539,0.6153846153846154,0.7307692307692307,0.7307692307692307,0.8461538461538461,0.7307692307692307,0.15384615384615385,0.7307692307692307,0.8461538461538461,1.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
rate_acc3,0.15384615384615385,0.15384615384615385,0.7692307692307693,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6538461538461539,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.15384615384615385,0.8461538461538461,1.0,1.0,0.8461538461538461,1.0,0.8461538461538461,1.0,0.8461538461538461,1.0
rate_acc5,0.15384615384615385,0.15384615384615385,0.7692307692307693,0.8461538461538461,1.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6538461538461539,0.6538461538461539,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.15384615384615385,0.8461538461538461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
