,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,89,19,3,479,2498,1,1718,combine
INRESMut198_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut114_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut24_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,12.0,6.0,1.0,1.0,2.0,1.0,13.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
INRESMut69_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,12.0,6.0,1.0,1.0,2.0,1.0,13.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
INRESMut88_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0
INRESMut44_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0
INRESMut125_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut66_T2,13.0,13.0,1.0,1.0,3.0,3.0,3.0,1.0,18.0,1.0,3.0,3.0,2.0,3.0,18.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
INRESMut188_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut94_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut178_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,12.0,6.0,1.0,1.0,2.0,1.0,13.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
INRESMut49_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,12.0,6.0,1.0,1.0,2.0,1.0,13.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
