,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1,29,2997,1797,1665,combine
median_Examscore(%),51.56,39.06,42.185,57.815,54.685,57.815,57.815,57.815,54.685,60.94,57.815,60.94,57.815,57.815,51.56,57.815,39.06,51.56,42.185,42.185,39.06,39.06
mean_Examscore(%),47.71653846153845,39.66307692307692,43.74961538461538,58.533846153846156,54.68769230769231,58.533846153846156,58.533846153846156,58.533846153846156,54.68769230769231,56.490769230769224,57.69192307692307,60.69653846153845,58.29384615384615,58.533846153846156,47.83692307692307,57.69192307692307,39.54269230769231,51.80269230769228,42.908846153846156,42.30807692307693,39.78346153846154,39.182307692307695
sd_Examscore(%),31.14452798708726,27.09661333365936,28.311967572850776,27.322971884759983,26.000354814147027,27.322971884759983,27.322971884759983,27.322971884759983,26.000354814147027,31.21147185546711,26.193347555321107,26.40183356394896,27.73923186779664,27.322971884759983,31.33504756903755,26.193347555321107,26.85255839694867,26.401888198792495,27.352030027319447,26.194970054455993,27.352269074767115,26.194448771858866
Total_acc1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0
Total_acc2,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,3.0,3.0,4.0,4.0
Total_acc3,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,6.0,0.0,4.0,4.0,6.0,6.0
Total_acc5,7.0,8.0,7.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,7.0,1.0,8.0,3.0,7.0,7.0,8.0,8.0
rate_acc1,0.11538461538461539,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.11538461538461539,0.0,0.0,0.0,0.11538461538461539,0.11538461538461539
rate_acc2,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385,0.0,0.11538461538461539,0.11538461538461539,0.15384615384615385,0.15384615384615385
rate_acc3,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.23076923076923078,0.0,0.23076923076923078,0.0,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.23076923076923078
rate_acc5,0.2692307692307692,0.3076923076923077,0.2692307692307692,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.2692307692307692,0.038461538461538464,0.3076923076923077,0.11538461538461539,0.2692307692307692,0.2692307692307692,0.3076923076923077,0.3076923076923077
