,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1,29,2997,1797,1665,combine
InFlightMut38_T25,30.0,30.0,32.0,5.0,30.0,5.0,5.0,5.0,30.0,3.0,5.0,5.0,3.0,5.0,31.0,5.0,29.0,31.0,32.0,27.0,31.0,26.0
InFlightMut21_T12,11.0,8.0,9.0,15.0,13.0,15.0,15.0,15.0,13.0,15.0,15.0,16.0,15.0,15.0,11.0,15.0,8.0,12.0,9.0,9.0,8.0,8.0
InFlightMut126_T28,24.0,20.0,22.0,28.0,25.0,28.0,28.0,28.0,25.0,28.0,27.0,28.0,28.0,28.0,24.0,27.0,20.0,24.0,21.0,21.0,20.0,20.0
InFlightMut132_T2,1.0,1.0,2.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,8.0,1.0,8.0,1.0,5.0,2.0,2.0,1.0,1.0
InFlightMut158_T31,27.0,23.0,25.0,31.0,28.0,31.0,31.0,31.0,28.0,31.0,30.0,31.0,31.0,31.0,27.0,30.0,23.0,27.0,24.0,24.0,23.0,23.0
InFlightMut153_T18,17.0,13.0,14.0,20.0,18.0,20.0,20.0,20.0,18.0,21.0,20.0,21.0,20.0,20.0,17.0,20.0,13.0,17.0,14.0,14.0,13.0,13.0
InFlightMut102_T30,26.0,22.0,24.0,30.0,27.0,30.0,30.0,30.0,27.0,30.0,29.0,30.0,30.0,30.0,26.0,29.0,22.0,26.0,23.0,23.0,22.0,22.0
InFlightMut110_T16,15.0,11.0,12.0,18.0,16.0,18.0,18.0,18.0,16.0,19.0,18.0,19.0,18.0,18.0,15.0,18.0,11.0,15.0,12.0,12.0,11.0,11.0
InFlightMut34_T16,15.0,11.0,12.0,18.0,16.0,18.0,18.0,18.0,16.0,19.0,18.0,19.0,18.0,18.0,15.0,18.0,11.0,15.0,12.0,12.0,11.0,11.0
InFlightMut3_T24,22.0,18.0,19.0,25.0,23.0,25.0,25.0,25.0,23.0,26.0,25.0,26.0,25.0,25.0,22.0,25.0,18.0,22.0,19.0,19.0,18.0,18.0
InFlightMut129_T30,26.0,22.0,24.0,30.0,27.0,30.0,30.0,30.0,27.0,30.0,29.0,30.0,30.0,30.0,26.0,29.0,22.0,26.0,23.0,23.0,22.0,22.0
InFlightMut180_T3,2.0,2.0,3.0,9.0,7.0,9.0,9.0,9.0,7.0,6.0,9.0,10.0,9.0,9.0,2.0,9.0,2.0,6.0,3.0,3.0,2.0,2.0
InFlightMut48_T4,3.0,3.0,4.0,10.0,8.0,10.0,10.0,10.0,8.0,7.0,10.0,11.0,10.0,10.0,3.0,10.0,3.0,7.0,4.0,4.0,3.0,3.0
InFlightMut26_T2,1.0,1.0,2.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,8.0,1.0,8.0,1.0,5.0,2.0,2.0,1.0,1.0
InFlightMut112_T5,4.0,4.0,5.0,11.0,9.0,11.0,11.0,11.0,9.0,8.0,11.0,12.0,11.0,11.0,4.0,11.0,4.0,8.0,5.0,5.0,4.0,4.0
InFlightMut151_T4,3.0,3.0,4.0,10.0,8.0,10.0,10.0,10.0,8.0,7.0,10.0,11.0,10.0,10.0,3.0,10.0,3.0,7.0,4.0,4.0,3.0,3.0
InFlightMut140_T12,11.0,8.0,9.0,15.0,13.0,15.0,15.0,15.0,13.0,15.0,15.0,16.0,15.0,15.0,11.0,15.0,8.0,12.0,9.0,9.0,8.0,8.0
InFlightMut40_T17,16.0,12.0,13.0,19.0,17.0,19.0,19.0,19.0,17.0,20.0,19.0,20.0,19.0,19.0,16.0,19.0,12.0,16.0,13.0,13.0,12.0,12.0
InFlightMut189_T30,26.0,22.0,24.0,30.0,27.0,30.0,30.0,30.0,27.0,30.0,29.0,30.0,30.0,30.0,26.0,29.0,22.0,26.0,23.0,23.0,22.0,22.0
InFlightMut131_T32,28.0,24.0,26.0,32.0,29.0,32.0,32.0,32.0,29.0,32.0,31.0,32.0,32.0,32.0,28.0,31.0,24.0,28.0,25.0,25.0,24.0,24.0
InFlightMut137_T23,21.0,17.0,18.0,24.0,22.0,24.0,24.0,24.0,22.0,25.0,24.0,25.0,24.0,24.0,21.0,24.0,17.0,21.0,18.0,18.0,17.0,17.0
InFlightMut147_T7,6.0,5.0,6.0,12.0,10.0,12.0,12.0,12.0,10.0,10.0,12.0,13.0,12.0,12.0,6.0,12.0,5.0,9.0,6.0,6.0,5.0,5.0
InFlightMut164_T2,1.0,1.0,2.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,8.0,1.0,8.0,1.0,5.0,2.0,2.0,1.0,1.0
InFlightMut37_T18,17.0,13.0,14.0,20.0,18.0,20.0,20.0,20.0,18.0,21.0,20.0,21.0,20.0,20.0,17.0,20.0,13.0,17.0,14.0,14.0,13.0,13.0
InFlightMut159_T19,18.0,14.0,15.0,21.0,19.0,21.0,21.0,21.0,19.0,22.0,21.0,22.0,21.0,21.0,18.0,21.0,14.0,18.0,15.0,15.0,14.0,14.0
InFlightMut168_T30,26.0,22.0,24.0,30.0,27.0,30.0,30.0,30.0,27.0,30.0,29.0,30.0,30.0,30.0,26.0,29.0,22.0,26.0,23.0,23.0,22.0,22.0
