,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1,1295,83,3,96,1261,1229,23,combine
OLSRMut191_T6,2.0,2.0,3.0,12.0,5.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,2.0,12.0,6.0,3.0,10.0,8.0,9.0,9.0,5.0,4.0,6.0
OLSRMut21_T5,17.0,17.0,16.0,4.0,19.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,19.0,4.0,3.0,15.0,4.0,2.0,4.0,4.0,3.0,2.0,1.0
OLSRMut187_T1,16.0,14.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0,1.0,22.0,1.0,5.0,1.0,2.0,2.0,17.0,19.0
OLSRMut177_T4,19.0,16.0,22.0,3.0,23.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,22.0,3.0,22.0,20.0,3.0,20.0,3.0,23.0,20.0,16.0,18.0
OLSRMut113_T19,10.0,9.0,10.0,19.0,12.0,19.0,19.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,10.0,19.0,13.0,10.0,17.0,15.0,16.0,16.0,12.0,11.0,13.0
OLSRMut102_T22,13.0,12.0,13.0,22.0,15.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,13.0,22.0,16.0,13.0,20.0,18.0,19.0,19.0,15.0,14.0,16.0
OLSRMut155_T16,7.0,6.0,7.0,16.0,9.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,7.0,16.0,10.0,7.0,14.0,12.0,13.0,13.0,9.0,8.0,10.0
OLSRMut112_T3,1.0,1.0,2.0,11.0,4.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,1.0,11.0,5.0,2.0,9.0,7.0,8.0,8.0,4.0,3.0,5.0
OLSRMut179_T16,7.0,6.0,7.0,16.0,9.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,7.0,16.0,10.0,7.0,14.0,12.0,13.0,13.0,9.0,8.0,10.0
OLSRMut104_T4,19.0,16.0,22.0,3.0,23.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,22.0,3.0,22.0,20.0,3.0,20.0,3.0,23.0,20.0,16.0,18.0
OLSRMut192_T2,15.0,15.0,15.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0
OLSRMut131_T21,12.0,11.0,12.0,21.0,14.0,21.0,21.0,21.0,20.0,21.0,21.0,21.0,21.0,21.0,12.0,21.0,15.0,12.0,19.0,17.0,18.0,18.0,14.0,13.0,15.0
OLSRMut148_T18,9.0,8.0,9.0,18.0,11.0,18.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,9.0,18.0,12.0,9.0,16.0,14.0,15.0,15.0,11.0,10.0,12.0
OLSRMut143_T2,15.0,15.0,15.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0
OLSRMut160_T12,4.0,4.0,5.0,14.0,7.0,14.0,14.0,14.0,13.0,13.0,14.0,14.0,14.0,14.0,4.0,14.0,8.0,5.0,12.0,10.0,11.0,11.0,7.0,6.0,8.0
OLSRMut162_T16,7.0,6.0,7.0,16.0,9.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,7.0,16.0,10.0,7.0,14.0,12.0,13.0,13.0,9.0,8.0,10.0
OLSRMut137_T16,7.0,6.0,7.0,16.0,9.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,7.0,16.0,10.0,7.0,14.0,12.0,13.0,13.0,9.0,8.0,10.0
OLSRMut158_T2,15.0,15.0,15.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0
OLSRMut149_T16,7.0,6.0,7.0,16.0,9.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,7.0,16.0,10.0,7.0,14.0,12.0,13.0,13.0,9.0,8.0,10.0
OLSRMut28_T11,3.0,3.0,4.0,13.0,6.0,13.0,13.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,3.0,13.0,7.0,4.0,11.0,9.0,10.0,10.0,6.0,5.0,7.0
OLSRMut12_T2,15.0,15.0,15.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0
OLSRMut152_T5,17.0,17.0,16.0,4.0,19.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,19.0,4.0,3.0,15.0,4.0,2.0,4.0,4.0,3.0,2.0,1.0
OLSRMut122_T8,21.0,19.0,18.0,6.0,21.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,18.0,5.0,4.0,17.0,6.0,6.0,5.0,5.0,19.0,18.0,3.0
OLSRMut185_T18,9.0,8.0,9.0,18.0,11.0,18.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,9.0,18.0,12.0,9.0,16.0,14.0,15.0,15.0,11.0,10.0,12.0
