,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,333,1890,2,1,4,8,1627,6,combine
RM2Mut161_T56,64.0,64.0,64.0,27.0,64.0,64.0,64.0,21.0,63.0,64.0,64.0,64.0,64.0,65.0,64.0,64.0,31.0,16.0,33.0,33.0,35.0,33.0,34.0,31.0,20.0
RM2Mut168_T119,119.0,119.0,119.0,81.0,119.0,119.0,119.0,77.0,117.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,85.0,70.0,87.0,87.0,89.0,87.0,88.0,85.0,74.0
RM2Mut10_T164,164.0,164.0,164.0,126.0,164.0,164.0,164.0,122.0,162.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,130.0,115.0,132.0,132.0,134.0,132.0,133.0,130.0,119.0
RM2Mut183_T1,15.0,2.0,6.0,8.0,2.0,2.0,2.0,199.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,8.0,2.0,8.0,1.0,6.0,1.0,16.0,17.0,7.0
RM2Mut24_T148,13.0,26.0,10.0,8.0,27.0,27.0,27.0,106.0,27.0,27.0,27.0,27.0,53.0,27.0,27.0,27.0,15.0,196.0,8.0,16.0,10.0,13.0,6.0,9.0,1.0
RM2Mut151_T76,77.0,77.0,77.0,40.0,77.0,77.0,77.0,36.0,76.0,77.0,77.0,77.0,77.0,78.0,77.0,77.0,44.0,29.0,46.0,46.0,48.0,46.0,47.0,44.0,33.0
RM2Mut187_T29,53.0,53.0,48.0,17.0,53.0,53.0,53.0,7.0,53.0,53.0,53.0,53.0,53.0,55.0,53.0,53.0,21.0,6.0,23.0,23.0,25.0,23.0,24.0,21.0,10.0
RM2Mut28_T1,15.0,2.0,6.0,8.0,2.0,2.0,2.0,199.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,8.0,2.0,8.0,1.0,6.0,1.0,16.0,17.0,7.0
RM2Mut120_T28,53.0,53.0,48.0,17.0,53.0,53.0,53.0,7.0,53.0,53.0,53.0,53.0,53.0,55.0,52.0,53.0,21.0,6.0,23.0,23.0,25.0,23.0,24.0,21.0,10.0
RM2Mut160_T144,144.0,144.0,144.0,106.0,144.0,144.0,144.0,102.0,142.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,110.0,95.0,112.0,112.0,114.0,112.0,113.0,110.0,99.0
