,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,55,2,14,45,28,combine
median_Examscore(%),98.25,98.25,98.25,1.75,98.25,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,98.25,1.75,1.75,1.75,1.75,1.75,1.75,1.75
mean_Examscore(%),77.19454545454545,77.19454545454545,77.19454545454545,12.517272727272724,77.19454545454545,12.517272727272724,12.517272727272724,12.517272727272724,12.517272727272724,12.517272727272724,12.517272727272724,12.517272727272724,12.517272727272724,12.517272727272724,77.19454545454545,12.517272727272724,12.517272727272724,12.517272727272724,12.517272727272724,12.517272727272724,12.517272727272724,12.517272727272724
sd_Examscore(%),32.1066493227794,32.1066493227794,32.1066493227794,15.676898740266012,32.1066493227794,15.676898740266012,15.676898740266012,15.676898740266012,15.676898740266012,15.676898740266012,15.676898740266012,15.676898740266012,15.676898740266012,15.676898740266012,32.1066493227794,15.676898740266012,15.676898740266012,15.676898740266012,15.676898740266012,15.676898740266012,15.676898740266012,15.676898740266012
Total_acc1,0.0,0.0,0.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Total_acc2,0.0,0.0,0.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Total_acc3,0.0,0.0,0.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Total_acc5,0.0,0.0,0.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
rate_acc1,0.0,0.0,0.0,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
rate_acc2,0.0,0.0,0.0,0.6818181818181818,0.0,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.0,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818
rate_acc3,0.0,0.0,0.0,0.6818181818181818,0.0,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.0,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818
rate_acc5,0.0,0.0,0.0,0.6818181818181818,0.0,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.0,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818
