,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,55,2,14,45,28,combine
SIPMut166_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut168_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut11_T26,57.0,57.0,57.0,2.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SIPMut117_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut10_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut125_T21,20.0,20.0,20.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut20_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut127_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut19_T26,57.0,57.0,57.0,2.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SIPMut134_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut114_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut129_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut120_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut149_T18,17.0,17.0,17.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut143_T18,17.0,17.0,17.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut167_T21,20.0,20.0,20.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut191_T18,17.0,17.0,17.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut103_T26,57.0,57.0,57.0,2.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SIPMut187_T18,17.0,17.0,17.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut181_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut162_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut18_T18,17.0,17.0,17.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
