,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,24,5,1247,1526,1011,8,9,combine
class2Mut144_T7,16.0,16.0,16.0,14.0,9.0,14.0,14.0,14.0,5.0,18.0,17.0,16.0,14.0,14.0,5.0,16.0,7.0,5.0,5.0,5.0,4.0,8.0,6.0,2.0
class2Mut28_T3,1.0,1.0,1.0,11.0,3.0,11.0,11.0,11.0,1.0,19.0,19.0,19.0,11.0,11.0,1.0,11.0,3.0,1.0,19.0,16.0,3.0,3.0,1.0,2.0
class2Mut18_T13,2.0,2.0,2.0,14.0,4.0,14.0,14.0,14.0,2.0,21.0,19.0,21.0,14.0,14.0,2.0,6.0,4.0,2.0,2.0,8.0,2.0,4.0,3.0,6.0
class2Mut12_T7,11.0,11.0,11.0,9.0,8.0,9.0,9.0,9.0,5.0,17.0,13.0,17.0,9.0,9.0,5.0,9.0,7.0,5.0,7.0,9.0,7.0,7.0,6.0,9.0
class2Mut123_T2,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,21.0,1.0,20.0,14.0,2.0,2.0,21.0,2.0,2.0,8.0,6.0,1.0,5.0,2.0,1.0,3.0
class2Mut114_T1,7.0,7.0,7.0,5.0,20.0,5.0,5.0,5.0,18.0,4.0,17.0,2.0,5.0,5.0,18.0,20.0,19.0,20.0,20.0,20.0,20.0,19.0,20.0,7.0
class2Mut40_T3,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,18.0,14.0,18.0,6.0,6.0,4.0,8.0,6.0,4.0,4.0,5.0,4.0,6.0,5.0,1.0
class2Mut177_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,14.0,13.0,13.0,15.0,14.0,13.0,14.0,2.0
class2Mut151_T14,18.0,18.0,18.0,18.0,14.0,18.0,18.0,18.0,9.0,14.0,15.0,13.0,18.0,18.0,9.0,18.0,10.0,10.0,8.0,16.0,12.0,11.0,14.0,1.0
class2Mut74_T3,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,18.0,14.0,18.0,6.0,6.0,4.0,8.0,6.0,4.0,4.0,5.0,4.0,6.0,5.0,1.0
class2Mut2_T11,2.0,2.0,2.0,18.0,7.0,18.0,18.0,18.0,2.0,20.0,20.0,20.0,18.0,18.0,2.0,17.0,4.0,2.0,20.0,20.0,9.0,6.0,3.0,3.0
class2Mut93_T2,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,21.0,1.0,20.0,14.0,2.0,2.0,21.0,2.0,2.0,8.0,6.0,1.0,5.0,2.0,1.0,3.0
class2Mut136_T14,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,11.0,6.0,10.0,15.0,15.0,11.0,14.0,13.0,12.0,12.0,14.0,13.0,12.0,13.0,4.0
class2Mut121_T13,2.0,2.0,2.0,14.0,4.0,14.0,14.0,14.0,2.0,21.0,19.0,21.0,14.0,14.0,2.0,6.0,4.0,2.0,2.0,8.0,2.0,4.0,3.0,6.0
class2Mut137_T2,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,21.0,1.0,20.0,14.0,2.0,2.0,21.0,2.0,2.0,8.0,6.0,1.0,5.0,2.0,1.0,3.0
class2Mut44_T0,6.0,5.0,6.0,3.0,10.0,5.0,5.0,3.0,20.0,2.0,3.0,17.0,4.0,3.0,20.0,3.0,2.0,13.0,1.0,4.0,9.0,1.0,8.0,1.0
class2Mut13_T5,9.0,9.0,9.0,7.0,5.0,7.0,7.0,7.0,3.0,19.0,16.0,19.0,7.0,7.0,3.0,7.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,12.0
class2Mut67_T3,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,18.0,14.0,18.0,6.0,6.0,4.0,8.0,6.0,4.0,4.0,5.0,4.0,6.0,5.0,1.0
class2Mut53_T11,3.0,5.0,3.0,9.0,3.0,2.0,2.0,9.0,1.0,19.0,13.0,14.0,6.0,9.0,3.0,9.0,5.0,1.0,6.0,2.0,2.0,3.0,4.0,1.0
class2Mut75_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,14.0,13.0,13.0,15.0,14.0,13.0,14.0,2.0
class2Mut39_T2,7.0,4.0,9.0,1.0,2.0,3.0,3.0,1.0,21.0,1.0,2.0,1.0,1.0,1.0,21.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0
class2Mut103_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,14.0,13.0,13.0,15.0,14.0,13.0,14.0,2.0
class2Mut165_T0,6.0,5.0,6.0,3.0,10.0,5.0,5.0,3.0,20.0,2.0,3.0,17.0,4.0,3.0,20.0,3.0,2.0,13.0,1.0,4.0,9.0,1.0,8.0,1.0
class2Mut45_T5,3.0,4.0,3.0,6.0,2.0,2.0,2.0,6.0,3.0,19.0,10.0,19.0,4.0,4.0,3.0,4.0,5.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0
class2Mut56_T0,6.0,5.0,6.0,3.0,10.0,5.0,5.0,3.0,20.0,2.0,3.0,17.0,4.0,3.0,20.0,3.0,2.0,13.0,1.0,4.0,9.0,1.0,8.0,1.0
class2Mut77_T14,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,11.0,6.0,10.0,15.0,15.0,11.0,14.0,13.0,12.0,12.0,14.0,13.0,12.0,13.0,4.0
class2Mut104_T13,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,21.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0
class2Mut161_T13,2.0,2.0,2.0,14.0,4.0,14.0,14.0,14.0,2.0,21.0,19.0,21.0,14.0,14.0,2.0,6.0,4.0,2.0,2.0,8.0,2.0,4.0,3.0,6.0
class2Mut141_T2,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,21.0,1.0,20.0,14.0,2.0,2.0,21.0,2.0,2.0,8.0,6.0,1.0,5.0,2.0,1.0,3.0
class2Mut100_T15,18.0,18.0,18.0,18.0,10.0,18.0,18.0,18.0,5.0,17.0,14.0,15.0,18.0,18.0,5.0,15.0,7.0,5.0,5.0,7.0,6.0,8.0,9.0,1.0
class2Mut32_T2,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,21.0,1.0,20.0,14.0,2.0,2.0,21.0,2.0,2.0,8.0,6.0,1.0,5.0,2.0,1.0,3.0
class2Mut108_T8,1.0,1.0,1.0,10.0,3.0,10.0,10.0,10.0,1.0,20.0,18.0,20.0,10.0,10.0,1.0,5.0,3.0,1.0,1.0,7.0,1.0,3.0,2.0,5.0
class2Mut58_T1,7.0,7.0,7.0,5.0,20.0,5.0,5.0,5.0,18.0,4.0,17.0,2.0,5.0,5.0,18.0,20.0,19.0,20.0,20.0,20.0,20.0,19.0,20.0,7.0
class2Mut29_T8,1.0,1.0,1.0,10.0,3.0,10.0,10.0,10.0,1.0,20.0,18.0,20.0,10.0,10.0,1.0,5.0,3.0,1.0,1.0,7.0,1.0,3.0,2.0,5.0
class2Mut156_T0,6.0,5.0,6.0,3.0,10.0,5.0,5.0,3.0,20.0,2.0,3.0,17.0,4.0,3.0,20.0,3.0,2.0,13.0,1.0,4.0,9.0,1.0,8.0,1.0
class2Mut134_T0,5.0,5.0,5.0,2.0,7.0,3.0,3.0,2.0,19.0,2.0,2.0,17.0,3.0,2.0,20.0,2.0,1.0,13.0,1.0,3.0,8.0,1.0,7.0,1.0
class2Mut125_T9,11.0,9.0,10.0,10.0,13.0,8.0,8.0,10.0,13.0,9.0,7.0,10.0,7.0,8.0,13.0,8.0,16.0,15.0,12.0,11.0,15.0,13.0,13.0,1.0
class2Mut80_T8,1.0,1.0,1.0,10.0,3.0,10.0,10.0,10.0,1.0,20.0,18.0,20.0,10.0,10.0,1.0,5.0,3.0,1.0,1.0,7.0,1.0,3.0,2.0,5.0
class2Mut166_T5,9.0,9.0,9.0,7.0,5.0,7.0,7.0,7.0,3.0,19.0,16.0,19.0,7.0,7.0,3.0,7.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,12.0
class2Mut157_T9,13.0,13.0,13.0,12.0,17.0,12.0,12.0,12.0,13.0,9.0,11.0,8.0,12.0,12.0,13.0,19.0,16.0,16.0,13.0,19.0,17.0,16.0,18.0,1.0
