,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1,1333,9,423,1711,combine
median_Examscore(%),6.67,6.67,13.33,65.0,20.0,65.0,65.0,65.0,6.67,100.0,100.0,100.0,65.0,65.0,6.67,60.0,6.67,6.67,6.67,6.67,6.67,23.33
mean_Examscore(%),6.907499999999996,7.026428571428568,12.616071428571429,55.714285714285715,24.047142857142855,53.21428571428571,53.21428571428571,55.714285714285715,11.668214285714287,90.59535714285714,70.95285714285714,70.35642857142857,54.52392857142856,54.16642857142857,11.787857142857147,42.61821428571428,5.834642857142855,7.025714285714282,6.549999999999997,6.907499999999996,9.883214285714287,22.856785714285714
sd_Examscore(%),1.5518295653840333,2.4578644965900556,3.55576250017798,34.71144014944752,16.664691406759967,37.77304059467805,37.77304059467805,34.71144014944752,17.320615217362704,25.355308813992195,43.20291869916875,44.07676554429284,36.110039164187484,36.747738777930344,17.296149722932423,28.114663111591913,1.7298543765361185,1.890103717654685,1.693333333333333,1.5518295653840333,17.081114339043932,13.325178632273962
Total_acc1,1.0,2.0,3.0,2.0,6.0,6.0,6.0,2.0,3.0,2.0,2.0,6.0,3.0,6.0,1.0,6.0,8.0,3.0,3.0,1.0,3.0,2.0
Total_acc2,26.0,26.0,3.0,3.0,7.0,8.0,8.0,3.0,21.0,2.0,7.0,7.0,3.0,7.0,21.0,7.0,27.0,22.0,27.0,26.0,24.0,2.0
Total_acc3,27.0,26.0,3.0,3.0,9.0,9.0,9.0,3.0,21.0,2.0,7.0,7.0,7.0,7.0,23.0,7.0,28.0,28.0,27.0,27.0,27.0,5.0
Total_acc5,28.0,28.0,27.0,7.0,12.0,9.0,9.0,7.0,24.0,2.0,7.0,7.0,9.0,7.0,24.0,7.0,28.0,28.0,28.0,28.0,27.0,10.0
rate_acc1,0.03571428571428571,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.10714285714285714,0.21428571428571427,0.03571428571428571,0.21428571428571427,0.2857142857142857,0.10714285714285714,0.10714285714285714,0.03571428571428571,0.10714285714285714,0.07142857142857142
rate_acc2,0.9285714285714286,0.9285714285714286,0.10714285714285714,0.10714285714285714,0.25,0.2857142857142857,0.2857142857142857,0.10714285714285714,0.75,0.07142857142857142,0.25,0.25,0.10714285714285714,0.25,0.75,0.25,0.9642857142857143,0.7857142857142857,0.9642857142857143,0.9285714285714286,0.8571428571428571,0.07142857142857142
rate_acc3,0.9642857142857143,0.9285714285714286,0.10714285714285714,0.10714285714285714,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.10714285714285714,0.75,0.07142857142857142,0.25,0.25,0.25,0.25,0.8214285714285714,0.25,1.0,1.0,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.17857142857142858
rate_acc5,1.0,1.0,0.9642857142857143,0.25,0.42857142857142855,0.32142857142857145,0.32142857142857145,0.25,0.8571428571428571,0.07142857142857142,0.25,0.25,0.32142857142857145,0.25,0.8571428571428571,0.25,1.0,1.0,1.0,1.0,0.9642857142857143,0.35714285714285715
